Postcode,total_installation,total_capacity,Propertycount,MedianPrice,"Number of individuals
no.","Taxable income or loss3 
$",capacity_per_installation,income_per_person,installation_per_propety
3000,89,2579.1560000000004,17496.0,637500.0,21585.0,1133544086.0,28.97928089887641,52515.36187167014,0.005086877000457247
3002,87,755.7849999999999,3040.0,897500.0,3586.0,427737327.0,8.687183908045975,119279.79001673173,0.028618421052631578
3003,117,1829.5300000000009,2230.0,1010000.0,3571.0,214257103.0,15.637008547008554,59999.188742649116,0.05246636771300448
3006,38,1282.7549999999999,8400.0,595000.0,12289.0,866562623.0,33.756710526315786,70515.30824314427,0.004523809523809524
3008,110,1792.9250000000002,4707.0,795000.0,7164.0,506953931.0,16.299318181818183,70764.08863763261,0.023369449755683024
3011,1004,7161.172000000001,7570.0,820000.0,12923.0,672655270.0,7.13264143426295,52051.01524413836,0.13262879788639365
3012,1604,11244.343999999992,3873.0,750000.0,15009.0,801874631.0,7.010189526184534,53426.25298154441,0.4141492383165505
3013,1083,6117.208999999998,6543.0,942500.0,9119.0,629976371.0,5.648392428439518,69083.9314617831,0.16552040348464006
3015,1286,7096.838000000001,5498.0,940000.0,10424.0,733761556.0,5.518536547433904,70391.55372217958,0.23390323754092399
3016,1266,7244.964999999998,6380.0,1225000.0,9720.0,787184578.0,5.722721169036333,80986.06769547325,0.19843260188087775
3018,1195,9013.167999999998,5301.0,857000.0,7647.0,455129939.0,7.542399999999998,59517.449849614226,0.225429164308621
3019,624,3985.6549999999993,3589.0,682000.0,4277.0,178751016.0,6.3872676282051275,41793.550619593174,0.17386458623572026
3020,3274,23489.349000000002,3755.0,653250.0,21676.0,919555201.0,7.174510995723886,42422.73486805684,0.8719041278295606
3021,4179,21299.957000000002,1202.0,596500.0,24953.0,1010140714.0,5.09690284757119,40481.73422033423,3.4767054908485857
3022,216,1225.4679999999998,1281.0,620000.0,1937.0,89286725.0,5.6734629629629625,46095.36654620547,0.1686182669789227
3023,6864,39486.85799999999,1686.0,620000.0,32700.0,1648703522.0,5.752747377622376,50419.067951070334,4.0711743772241995
3024,5137,30210.628000000004,5262.0,505700.0,12265.0,608424053.0,5.880986568035819,49606.52694659601,0.9762447738502471
3025,1130,8352.884,5132.0,765000.0,5841.0,315110709.0,7.3919327433628315,53948.075500770414,0.2201870615744349
3027,1124,6092.012999999999,1999.0,591000.0,4033.0,225822613.0,5.419940391459074,55993.705182246464,0.5622811405702851
3028,2570,13461.582999999997,7630.0,610000.0,16045.0,796225063.0,5.237970038910505,49624.497538173884,0.33682830930537355
3029,19737,127844.86399999994,13830.0,544000.0,50354.0,2423502568.0,6.477421289963011,48129.29594471144,1.4271149674620391
3030,14135,84866.53000000001,15542.0,580000.0,55342.0,3032170992.0,6.003999292536259,54789.689422138705,0.9094711105391842
3031,767,4344.782000000002,3593.0,843000.0,10951.0,696648357.0,5.664644067796613,63615.04492740389,0.21347063735040356
3032,1573,8879.294999999998,6567.0,950000.0,17966.0,1145781917.0,5.644815638906547,63775.014861404874,0.23953098827470687
3033,1042,6347.224999999999,5629.0,810000.0,8084.0,463221427.0,6.091386756238004,57301.01768926274,0.18511280866939064
3034,758,4169.504999999999,4502.0,815000.0,6340.0,340940570.0,5.500666226912927,53776.11514195584,0.16836961350510884
3036,515,3162.361999999999,2339.0,775000.0,3897.0,248759232.0,6.140508737864076,63833.52117013087,0.2201795639162035
3037,5106,27373.933000000008,5556.0,642000.0,27476.0,1399949410.0,5.361130630630632,50951.71822681613,0.9190064794816415
3038,2594,14722.289,3656.0,700500.0,16942.0,885849293.0,5.675516191210486,52287.173474206116,0.7095185995623632
3039,740,4350.518999999999,6232.0,1115000.0,9102.0,658452535.0,5.879079729729729,72341.52219292463,0.11874197689345314
3040,1410,8578.484999999997,9264.0,1068750.0,16776.0,1202133008.0,6.084031914893615,71657.9046256557,0.15220207253886012
3041,797,5186.713999999999,1308.0,1051000.0,7754.0,522767617.0,6.507796737766624,67419.08911529533,0.6093272171253823
3042,1167,8185.484000000002,3464.0,790000.0,9259.0,524876554.0,7.014125107112256,56688.25510314289,0.3368937644341801
3043,1527,11971.818000000003,1071.0,654000.0,9984.0,501860816.0,7.840090373280945,50266.508012820515,1.4257703081232493
3044,1584,8615.844000000001,7485.0,750000.0,15315.0,884815622.0,5.439295454545455,57774.44479268691,0.21162324649298597
3046,2013,10253.6,8870.0,677000.0,17870.0,866676721.0,5.093691008445107,48498.97711247901,0.22694475760992108
3047,1472,10362.062999999995,851.0,528000.0,7580.0,289161529.0,7.039444972826083,38147.95897097625,1.7297297297297298
3048,1660,10029.414000000004,1124.0,474000.0,6642.0,258745437.0,6.041815662650605,38955.95257452575,1.4768683274021353
3049,864,4995.0999999999985,1130.0,625000.0,5397.0,282136499.0,5.781365740740739,52276.54233833611,0.7646017699115044
3051,244,1755.4350000000002,6821.0,726000.0,7939.0,472604060.0,7.194405737704919,59529.41932233279,0.035771880955871575
3052,125,1670.9099999999999,2309.0,1265000.0,3413.0,220693560.0,13.36728,64662.63111631995,0.05413598960588999
3053,139,1406.0929999999998,6786.0,977500.0,7672.0,415823674.0,10.115776978417266,54200.16605839416,0.020483348069554964
3054,364,1809.1720000000005,3106.0,1530000.0,5846.0,428420164.0,4.970252747252749,73284.32500855286,0.11719253058596266
3055,730,3599.3379999999997,7082.0,769000.0,8571.0,493233491.0,4.930599999999999,57546.78462256446,0.10307822648969217
3056,1377,8546.657000000001,11918.0,950000.0,16338.0,953090147.0,6.2067225853304295,58335.79061084588,0.11553952005370029
3057,550,3162.2589999999996,5533.0,908500.0,7856.0,461168290.0,5.749561818181817,58702.68457230143,0.09940357852882704
3058,2796,16798.696000000007,11204.0,865000.0,19965.0,1093346296.0,6.0081173104434935,54763.15031304783,0.24955373081042484
3059,2532,17851.982999999993,4864.0,715000.0,9350.0,523526210.0,7.050546208530803,55992.10802139038,0.5205592105263158
3060,875,4965.920000000002,5070.0,669000.0,6297.0,280158859.0,5.675337142857145,44490.84627600445,0.17258382642998027
3061,880,16844.014999999996,1889.0,500000.0,2135.0,87420542.0,19.140926136363632,40946.38969555035,0.46585494970884067
3064,14964,96670.388,15510.0,562625.0,36342.0,1698398606.0,6.460197006148089,46733.768257112984,0.9647969052224371
3065,287,1879.5479999999998,5825.0,1116500.0,6762.0,491447606.0,6.5489477351916365,72677.84767820171,0.049270386266094424
3066,236,2301.007,4553.0,910000.0,5472.0,343089828.0,9.75002966101695,62699.16447368421,0.05183395563364814
3067,241,1942.571,4019.0,1021250.0,5737.0,375625805.0,8.060460580912864,65474.25570855848,0.05996516546404578
3068,1045,5284.981000000001,2954.0,1265000.0,12240.0,931525479.0,5.057398086124403,76105.02279411764,0.35375761679079215
3070,2084,10404.871,11364.0,1205000.0,15411.0,1041882843.0,4.992740403071017,67606.43975082733,0.1833861316437874
3071,1291,7290.696000000001,8870.0,930000.0,11084.0,654762357.0,5.647324554608831,59072.74963911945,0.1455467869222097
3072,2415,14986.327000000003,14577.0,871000.0,18596.0,989437080.0,6.205518426501037,53206.98429769843,0.1656719489606915
3073,3268,17714.543999999998,21650.0,680000.0,25531.0,1216564856.0,5.420607099143206,47650.497669499826,0.15094688221709007
3074,1797,15401.342999999999,7955.0,640000.0,9547.0,403841822.0,8.570585976627711,42300.389860689225,0.22589566310496542
3075,1822,9885.973000000002,8279.0,663500.0,10257.0,440929598.0,5.425890779363338,42988.16398557083,0.22007488827153038
3076,3395,22996.797000000013,10926.0,600000.0,17209.0,795951094.0,6.7737251840942605,46252.02475448893,0.3107267069375801
3078,1037,6532.990999999997,2211.0,1265000.0,7136.0,525657411.0,6.29989488910318,73662.75378363229,0.4690185436454093
3079,1138,7227.049999999999,5549.0,1212500.0,10342.0,862120302.0,6.350659050966607,83361.08122220074,0.20508199675617228
3081,1007,6767.616,2947.0,712500.0,6717.0,326758598.0,6.720571996027806,48646.50856036921,0.34170342721411606
3082,2617,13591.508,10529.0,665500.0,17371.0,847668993.0,5.1935452808559415,48797.93869092165,0.24855161933706904
3083,2549,14741.890999999996,1414.0,750000.0,16903.0,814870400.0,5.7834017261671224,48208.625687747735,1.8026874115983027
3084,1930,10837.556999999997,1651.0,1000000.0,15740.0,1039060175.0,5.615314507772019,66013.98824650572,1.1689884918231375
3085,1050,5545.6259999999975,1369.0,780250.0,8150.0,485936621.0,5.281548571428569,59624.12527607362,0.7669831994156319
3087,740,3918.6450000000004,2329.0,755000.0,5159.0,282971118.0,5.295466216216217,54849.99379724753,0.317732932589094
3088,2316,12896.659999999998,1390.0,817750.0,16570.0,946116373.0,5.568506044905008,57098.15165962583,1.6661870503597123
3089,1277,7581.74,4258.0,742500.0,7533.0,452149535.0,5.937149569303054,60022.50564184256,0.2999060591827149
3090,285,2403.9929999999995,777.0,1141000.0,1556.0,117763085.0,8.435063157894735,75683.21658097686,0.3667953667953668
3093,339,2557.457,1624.0,810000.0,2417.0,176685587.0,7.544120943952802,73101.19445593712,0.20874384236453203
3094,761,4161.820999999999,3891.0,880000.0,5448.0,311070286.0,5.468884362680682,57098.0701174743,0.19557954253405294
3095,2541,15414.706999999999,6990.0,901000.0,18255.0,1189160741.0,6.066393939393939,65141.64563133388,0.36351931330472104
3096,207,1173.6450000000002,642.0,987500.0,1166.0,63342059.0,5.6697826086956535,54324.235849056604,0.32242990654205606
3099,573,3539.4700000000003,1345.0,695000.0,3043.0,167760292.0,6.177085514834206,55129.90207032533,0.42602230483271375
3101,1282,9062.294,10331.0,1565000.0,16341.0,1685460600.0,7.068872074882996,103143.05122085552,0.1240925370244894
3102,427,2594.2529999999997,2671.0,1754500.0,4154.0,330662022.0,6.075533957845432,79600.87193066924,0.15986521901909398
3103,917,5736.479999999998,5682.0,1810000.0,10199.0,852034564.0,6.255703380588875,83540.9906853613,0.16138683562126013
3104,1409,9328.894000000002,7809.0,1730000.0,12994.0,930998738.0,6.620932576295246,71648.35601046636,0.1804328339095915
3105,791,4510.825,4480.0,1190000.0,6564.0,410607905.0,5.702686472819216,62554.52544180378,0.1765625
3106,1462,9466.408,6202.0,1390000.0,10761.0,750151090.0,6.474971272229822,69710.16541213641,0.23573040954530797
3107,1002,5963.104000000002,5420.0,1155000.0,7941.0,457963346.0,5.951201596806389,57670.73995718423,0.18487084870848708
3108,1584,9516.346000000003,9028.0,1300000.0,12765.0,712941864.0,6.007794191919194,55851.301527614574,0.17545414266725742
3109,2112,12223.008999999996,10999.0,1310000.0,16933.0,906944158.0,5.787409564393938,53560.74871552589,0.19201745613237567
3111,1119,7597.428999999998,4790.0,1150000.0,7571.0,536025703.0,6.7894807864164415,70799.85510500595,0.2336116910229645
3113,953,6275.520000000002,2003.0,1162000.0,5431.0,393236872.0,6.585015739769152,72405.97900939053,0.47578632051922115
3115,449,3261.026999999998,1328.0,1357500.0,2708.0,198693438.0,7.262866369710464,73372.76144756278,0.3381024096385542
3116,1232,7552.904000000001,3789.0,765000.0,6127.0,329580342.0,6.1306038961038976,53791.470866655785,0.32515175508049615
3121,976,6517.408,14949.0,1052000.0,21020.0,1836898417.0,6.677672131147541,87388.12640342531,0.06528864807010502
3122,712,5040.887000000001,11308.0,750500.0,15927.0,1569184729.0,7.0798974719101135,98523.55930181453,0.0629642730810046
3123,571,3921.3330000000014,6482.0,1320000.0,9294.0,867003400.0,6.867483362521894,93286.35678932644,0.0880900956494909
3124,1248,8090.449000000003,8920.0,1835000.0,14849.0,1518773851.0,6.482731570512823,102281.22102498484,0.13991031390134528
3125,919,5589.707,5678.0,1250000.0,7711.0,413460307.0,6.082379760609358,53619.54441706653,0.16185276505811905
3126,423,3098.4919999999984,3265.0,2300000.0,5445.0,697568386.0,7.325040189125292,128111.73296602388,0.12955589586523736
3127,1196,6800.942999999999,2079.0,1525000.0,12202.0,1011388963.0,5.6864071906354505,82887.14661530897,0.5752765752765753
3128,1082,7230.693000000002,4605.0,1338000.0,10894.0,578460257.0,6.682710720887248,53098.97714338168,0.23496199782844734
3130,2515,14930.553000000004,5713.0,1225000.0,18952.0,1139472054.0,5.936601590457258,60124.10584634867,0.44022405041134255
3131,1825,12109.015000000001,4385.0,1001000.0,12861.0,678798373.0,6.635076712328768,52779.59513257134,0.4161915621436716
3132,1223,7443.902999999998,6871.0,971500.0,10034.0,575289894.0,6.086592804578903,57334.05361769982,0.17799446950953282
3133,2189,12687.330000000007,4181.0,1127500.0,13527.0,731865095.0,5.795947921425312,54104.02121682561,0.5235589571872757
3134,2734,18490.973999999995,7785.0,930000.0,19951.0,1150786643.0,6.7633408924652505,57680.64974186758,0.35118818240205524
3135,1678,10063.538999999995,3794.0,910000.0,11521.0,625221715.0,5.997341477949938,54268.00755142783,0.4422772799156563
3136,4138,22845.934,11925.0,850000.0,26235.0,1391422937.0,5.5210086998550025,53036.89487326091,0.3470020964360587
3137,1567,10526.716000000002,4654.0,710000.0,8059.0,406859909.0,6.717751116783664,50485.16056582703,0.33669961323592607
3138,2253,11582.709999999995,8280.0,740000.0,12871.0,659106349.0,5.141016422547712,51208.63561494833,0.27210144927536234
3139,1831,12464.561999999993,1130.0,1150000.0,8524.0,419430911.0,6.8075161114145235,49205.878812763964,1.620353982300885
3140,1826,11830.102999999997,6732.0,705000.0,10073.0,531406687.0,6.478698247535595,52755.553161918,0.27124183006535946
3141,340,2246.2310000000007,14887.0,800000.0,17587.0,1750573106.0,6.6065617647058845,99537.90333769261,0.022838718344864648
3142,356,3154.4069999999997,7217.0,1005000.0,10063.0,1919785020.0,8.860693820224718,190776.60936102553,0.04932797561313565
3143,288,2029.72,4836.0,1205000.0,6171.0,694233190.0,7.047638888888889,112499.30157186842,0.05955334987593052
3144,504,3859.4280000000003,394.0,1977500.0,7782.0,935568529.0,7.657595238095238,120222.11886404523,1.2791878172588833
3145,1274,7635.238999999999,8801.0,1460000.0,13837.0,1185735608.0,5.993123233908947,85693.11324709113,0.1447562776957164
3146,1509,9312.793000000005,10412.0,1528800.0,16029.0,1482765401.0,6.171499668654741,92505.17193836172,0.1449289281598156
3147,1164,6667.326,3052.0,1417000.0,8554.0,617547495.0,5.727943298969072,72194.00222118307,0.381389252948886
3148,606,3105.9950000000013,3582.0,977500.0,5173.0,279031884.0,5.125404290429045,53940.05103421612,0.16917922948073702
3149,3033,17494.794000000005,13366.0,1386000.0,20712.0,1206407640.0,5.768148367952524,58246.79606025493,0.2269190483315876
3150,5785,33423.05499999999,15321.0,1206000.0,36387.0,2029124017.0,5.777537597234225,55765.081402698765,0.37758631943084653
3151,1014,5459.8330000000005,4048.0,1076500.0,5912.0,290499772.0,5.384450690335306,49137.309201623815,0.25049407114624506
3152,3689,20848.014,5424.0,1000000.0,20390.0,1059982818.0,5.651399837354297,51985.42511034821,0.6801253687315634
3153,2316,19545.588000000007,5030.0,745500.0,11743.0,580339341.0,8.439373056994821,49420.02392914928,0.46043737574552684
3154,429,2351.753,1690.0,580600.0,2617.0,141585827.0,5.481941724941725,54102.34123041651,0.25384615384615383
3155,2121,11500.277,9704.0,780000.0,12850.0,630716361.0,5.422101367279585,49082.985291828794,0.2185696619950536
3156,4220,23822.88200000001,10788.0,760000.0,22637.0,1226540168.0,5.645232701421803,54182.98219728762,0.39117538005190955
3158,573,3306.8140000000008,2591.0,825000.0,4220.0,224769861.0,5.771054101221642,53263.00023696682,0.22115013508297954
3159,223,1237.285,342.0,,1534.0,83854750.0,5.548363228699552,54664.113428943936,0.652046783625731
3160,761,4598.673999999999,869.0,855000.0,5501.0,299151982.0,6.042935611038106,54381.381930558084,0.8757192174913694
3161,601,4623.258999999997,6923.0,609000.0,10158.0,918164259.0,7.692610648918465,90388.29090372121,0.08681207568972989
3162,962,6433.774000000001,2379.0,1165250.0,11697.0,918096194.0,6.6879147609147624,78489.88578267932,0.40437158469945356
3163,1512,8398.911,7822.0,860000.0,19596.0,1184109921.0,5.554835317460317,60426.1033374158,0.19330094604960368
3165,1919,11161.513999999996,10969.0,1160000.0,15942.0,957728100.0,5.81631787389265,60075.780955965376,0.1749475795423466
3166,1501,9589.309000000001,3145.0,1033000.0,13672.0,771184108.0,6.388613590939374,56406.09332943241,0.47726550079491253
3167,811,5490.198,3692.0,986000.0,5447.0,288506124.0,6.769664611590629,52966.05911510924,0.21966413867822318
3168,872,7883.279999999999,5837.0,1045000.0,9478.0,408191147.0,9.040458715596328,43067.22378138848,0.14939181086174405
3169,1600,10093.627999999995,2727.0,850000.0,10698.0,475762385.0,6.308517499999997,44472.08683866143,0.5867253392005867
3170,1919,13532.652999999997,7113.0,900500.0,11097.0,595952825.0,7.0519296508598215,53703.95827701181,0.26978771263883033
3171,1814,11739.299999999997,7412.0,765000.0,10514.0,407323530.0,6.471499448732082,38741.06239299981,0.244738262277388
3172,2238,12852.090000000004,3940.0,854000.0,12708.0,599161382.0,5.742667560321718,47148.36181932641,0.5680203045685279
3173,3742,24281.292,8459.0,770000.0,14190.0,694178848.0,6.488854088722609,48920.28527131783,0.44236907435867123
3174,2920,16014.770999999997,11806.0,650000.0,19176.0,787952892.0,5.484510616438355,41090.57634543179,0.24733186515331188
3175,4477,49810.80900000001,10894.0,619250.0,26016.0,1072453394.0,11.1259345543891,41222.8395602706,0.41096016155682025
3177,953,5045.822000000001,845.0,513500.0,4828.0,188976614.0,5.294671563483736,39141.80074565037,1.127810650887574
3178,4053,23261.297999999984,11667.0,920000.0,21123.0,1151331076.0,5.73927905255366,54506.03967239502,0.34739007456929805
3179,695,5705.988000000001,2206.0,952000.0,3522.0,180313997.0,8.210054676258995,51196.4784213515,0.31504986400725293
3180,916,6541.6230000000005,2949.0,870000.0,4446.0,224750725.0,7.141509825327511,50551.22019793072,0.31061376737877244
3181,449,2807.3989999999994,7717.0,1020000.0,15558.0,1066406939.0,6.252559020044542,68543.96059904872,0.05818323182583906
3182,423,2748.9450000000015,13240.0,600000.0,17083.0,1156491237.0,6.498687943262415,67698.36896329685,0.03194864048338369
3183,498,2765.3900000000003,2952.0,610750.0,12111.0,793385700.0,5.5529919678714865,65509.51201387169,0.16869918699186992
3184,501,2490.445,8989.0,717000.0,10860.0,954656202.0,4.9709481037924155,87905.7276243094,0.05573478696184225
3185,616,3654.9419999999996,4898.0,900000.0,8547.0,695049169.0,5.933347402597402,81320.8340938341,0.12576561861984484
3186,1336,9761.307000000004,10579.0,1800000.0,16333.0,2046405152.0,7.306367514970063,125292.6683401702,0.12628792891577653
3187,1075,7212.925000000001,6938.0,1650000.0,9867.0,859521515.0,6.709697674418606,87110.72413094153,0.15494378783511098
3188,1221,7246.079999999998,5454.0,1350000.0,10824.0,964378082.0,5.934545454545453,89096.2751293422,0.22387238723872388
3189,670,5927.590999999999,2555.0,1002500.0,3753.0,213135782.0,8.847150746268657,56790.775912603254,0.2622309197651663
3190,676,4132.233,4794.0,1195000.0,6372.0,407392389.0,6.112770710059172,63934.77542372881,0.1410095953274927
3191,734,4883.319000000001,4497.0,1650000.0,6494.0,585203855.0,6.653023160762944,90114.54496458269,0.16321992439404048
3192,1769,12373.586,9758.0,1020000.0,13368.0,785694951.0,6.994678349349915,58774.30812387792,0.18128714900594384
3193,1613,10548.689000000002,5366.0,1630000.0,13041.0,1185892247.0,6.539794792312462,90935.68338317613,0.30059634737234436
3194,838,5921.673999999996,6162.0,892500.0,8658.0,536528223.0,7.066436754176607,61969.071725571725,0.13599480688088283
3195,3506,26684.322000000004,3650.0,986000.0,21628.0,1359922007.0,7.61104449515117,62877.84385981136,0.9605479452054795
3196,2164,11845.0,2546.0,836500.0,14756.0,823613937.0,5.47365988909427,55815.52839522906,0.8499607227022781
3197,1077,5876.927000000002,1989.0,727750.0,7221.0,435729410.0,5.4567567316620265,60341.97618058441,0.5414781297134238
3198,1626,9681.511,8077.0,767500.0,9243.0,459554924.0,5.9541888068880695,49719.23877528941,0.2013123684536338
3199,4860,28321.245000000006,17055.0,686000.0,30241.0,1516103871.0,5.827416666666668,50134.052147746435,0.2849604221635884
3200,415,1870.0650000000003,2500.0,493000.0,2139.0,88415052.0,4.506180722891567,41334.76016830294,0.166
3201,2628,18467.251999999997,8060.0,552500.0,11422.0,548131551.0,7.027112633181125,47989.10444755734,0.3260545905707196
3202,249,2480.6659999999993,1048.0,790000.0,1594.0,94347939.0,9.962514056224897,59189.42220828105,0.23759541984732824
3204,2012,12118.750999999997,6795.0,1289500.0,18324.0,1217377509.0,6.023236083499004,66436.23166339227,0.2961000735835173
3205,301,2391.927999999999,5943.0,1200000.0,7294.0,653258709.0,7.9466046511627875,89561.10625171373,0.050647820965842166
3206,408,2304.6000000000013,3280.0,1850000.0,6995.0,905845262.0,5.648529411764709,129498.96526090064,0.12439024390243902
