Postcode,"Number of individuals
no.","Taxable income or loss3 
$"
3000.0,"21,585","1,133,544,086"
3002.0,"3,586","427,737,327"
3003.0,"3,571","214,257,103"
3004.0,"6,941","609,482,026"
3006.0,"12,289","866,562,623"
3008.0,"7,164","506,953,931"
3011.0,"12,923","672,655,270"
3012.0,"15,009","801,874,631"
3013.0,"9,119","629,976,371"
3015.0,"10,424","733,761,556"
3016.0,"9,720","787,184,578"
3018.0,"7,647","455,129,939"
3019.0,"4,277","178,751,016"
3020.0,"21,676","919,555,201"
3021.0,"24,953","1,010,140,714"
3022.0,"1,937","89,286,725"
3023.0,"32,700","1,648,703,522"
3024.0,"12,265","608,424,053"
3025.0,"5,841","315,110,709"
3026.0,169,"12,748,451"
3027.0,"4,033","225,822,613"
3028.0,"16,045","796,225,063"
3029.0,"50,354","2,423,502,568"
3030.0,"55,342","3,032,170,992"
3031.0,"10,951","696,648,357"
3032.0,"17,966","1,145,781,917"
3033.0,"8,084","463,221,427"
3034.0,"6,340","340,940,570"
3036.0,"3,897","248,759,232"
3037.0,"27,476","1,399,949,410"
3038.0,"16,942","885,849,293"
3039.0,"9,102","658,452,535"
3040.0,"16,776","1,202,133,008"
3041.0,"7,754","522,767,617"
3042.0,"9,259","524,876,554"
3043.0,"9,984","501,860,816"
3044.0,"15,315","884,815,622"
3046.0,"17,870","866,676,721"
3047.0,"7,580","289,161,529"
3048.0,"6,642","258,745,437"
3049.0,"5,397","282,136,499"
3051.0,"7,939","472,604,060"
3052.0,"3,413","220,693,560"
3053.0,"7,672","415,823,674"
3054.0,"5,846","428,420,164"
3055.0,"8,571","493,233,491"
3056.0,"16,338","953,090,147"
3057.0,"7,856","461,168,290"
3058.0,"19,965","1,093,346,296"
3059.0,"9,350","523,526,210"
3060.0,"6,297","280,158,859"
3061.0,"2,135","87,420,542"
3062.0,98,"10,030,194"
3063.0,368,"22,550,529"
3064.0,"36,342","1,698,398,606"
3065.0,"6,762","491,447,606"
3066.0,"5,472","343,089,828"
3067.0,"5,737","375,625,805"
3068.0,"12,240","931,525,479"
3070.0,"15,411","1,041,882,843"
3071.0,"11,084","654,762,357"
3072.0,"18,596","989,437,080"
3073.0,"25,531","1,216,564,856"
3074.0,"9,547","403,841,822"
3075.0,"10,257","440,929,598"
3076.0,"17,209","795,951,094"
3078.0,"7,136","525,657,411"
