Small Unit Installation Postcode,Jan 2011 - Installations Quantity,Feb 2011 - Installations Quantity,Mar 2011 - Installations Quantity,Apr 2011 - Installations Quantity,May 2011 - Installations Quantity,Jun 2011 - Installations Quantity,Jul 2011 - Installations Quantity,Aug 2011 - Installations Quantity,Sep 2011 - Installations Quantity,Oct 2011 - Installations Quantity,Nov 2011 - Installations Quantity,Dec 2011 - Installations Quantity,Jan 2012 - Installations Quantity,Feb 2012 - Installations Quantity,Mar 2012 - Installations Quantity,Apr 2012 - Installations Quantity,May 2012 - Installations Quantity,Jun 2012 - Installations Quantity,Jul 2012 - Installations Quantity,Aug 2012 - Installations Quantity,Sep 2012 - Installations Quantity,Oct 2012 - Installations Quantity,Nov 2012 - Installations Quantity,Dec 2012 - Installations Quantity,Jan 2013 - Installations Quantity,Feb 2013 - Installations Quantity,Mar 2013 - Installations Quantity,Apr 2013 - Installations Quantity,May 2013 - Installations Quantity,Jun 2013 - Installations Quantity,Jul 2013 - Installations Quantity,Aug 2013 - Installations Quantity,Sep 2013 - Installations Quantity,Oct 2013 - Installations Quantity,Nov 2013 - Installations Quantity,Dec 2013 - Installations Quantity,Jan 2014 - Installations Quantity,Feb 2014 - Installations Quantity,Mar 2014 - Installations Quantity,Apr 2014 - Installations Quantity,May 2014 - Installations Quantity,Jun 2014 - Installations Quantity,Jul 2014 - Installations Quantity,Aug 2014 - Installations Quantity,Sep 2014 - Installations Quantity,Oct 2014 - Installations Quantity,Nov 2014 - Installations Quantity,Dec 2014 - Installations Quantity,Jan 2015 - Installations Quantity,Feb 2015 - Installations Quantity,Mar 2015 - Installations Quantity,Apr 2015 - Installations Quantity,May 2015 - Installations Quantity,Jun 2015 - Installations Quantity,Jul 2015 - Installations Quantity,Aug 2015 - Installations Quantity,Sep 2015 - Installations Quantity,Oct 2015 - Installations Quantity,Nov 2015 - Installations Quantity,Dec 2015 - Installations Quantity,Jan 2016 - Installations Quantity,Feb 2016 - Installations Quantity,Mar 2016 - Installations Quantity,Apr 2016 - Installations Quantity,May 2016 - Installations Quantity,Jun 2016 - Installations Quantity,Jul 2016 - Installations Quantity,Aug 2016 - Installations Quantity,Sep 2016 - Installations Quantity,Oct 2016 - Installations Quantity,Nov 2016 - Installations Quantity,Dec 2016 - Installations Quantity,Jan 2017 - Installations Quantity,Feb 2017 - Installations Quantity,Mar 2017 - Installations Quantity,Apr 2017 - Installations Quantity,May 2017 - Installations Quantity,Jun 2017 - Installations Quantity,Jul 2017 - Installations Quantity,Aug 2017 - Installations Quantity,Sep 2017 - Installations Quantity,Oct 2017 - Installations Quantity,Nov 2017 - Installations Quantity,Dec 2017 - Installations Quantity,Jan 2018 - Installations Quantity,Feb 2018 - Installations Quantity,Mar 2018 - Installations Quantity,Apr 2018 - Installations Quantity,May 2018 - Installations Quantity,Jun 2018 - Installations Quantity,Jul 2018 - Installations Quantity,Aug 2018 - Installations Quantity,Sep 2018 - Installations Quantity,Oct 2018 - Installations Quantity,Nov 2018 - Installations Quantity,Dec 2018 - Installations Quantity,Jan 2019 - Installations Quantity,Feb 2019 - Installations Quantity,Mar 2019 - Installations Quantity,Apr 2019 - Installations Quantity,May 2019 - Installations Quantity,Jun 2019 - Installations Quantity,Jul 2019 - Installations Quantity,Aug 2019 - Installations Quantity,Sep 2019 - Installations Quantity,Oct 2019 - Installations Quantity,Nov 2019 - Installations Quantity,Dec 2019 - Installations Quantity,Jan 2020 - Installations Quantity,Feb 2020 - Installations Quantity,Mar 2020 - Installations Quantity,Apr 2020 - Installations Quantity,May 2020 - Installations Quantity,Jun 2020 - Installations Quantity,Jul 2020 - Installations Quantity,Aug 2020 - Installations Quantity,Sep 2020 - Installations Quantity,Oct 2020 - Installations Quantity,Nov 2020 - Installations Quantity,Dec 2020 - Installations Quantity,Jan 2021 - Installations Quantity,Feb 2021 - Installations Quantity,Mar 2021 - Installations Quantity,Apr 2021 - Installations Quantity,May 2021 - Installations Quantity,Jun 2021 - Installations Quantity,Jul 2021 - Installations Quantity,Aug 2021 - Installations Quantity,Sep 2021 - Installations Quantity,Oct 2021 - Installations Quantity,Nov 2021 - Installations Quantity,Dec 2021 - Installations Quantity,Jan 2022 - Installations Quantity,Feb 2022 - Installations Quantity,Mar 2022 - Installations Quantity,Apr 2022 - Installations Quantity,May 2022 - Installations Quantity,Jun 2022 - Installations Quantity,Jul 2022 - Installations Quantity,Aug 2022 - Installations Quantity,Sep 2022 - Installations Quantity,Oct 2022 - Installations Quantity,Nov 2022 - Installations Quantity,Dec 2022 - Installations Quantity,Jan 2023 - Installations Quantity,Feb 2023 - Installations Quantity,Mar 2023 - Installations Quantity,Apr 2023 - Installations Quantity,May 2023 - Installations Quantity,Jun 2023 - Installations Quantity,Jul 2023 - Installations Quantity,Aug 2023 - Installations Quantity,Sep 2023 - Installations Quantity,Oct 2023 - Installations Quantity,Nov 2023 - Installations Quantity,Dec 2023 - Installations Quantity,Jan 2024 - Installations Quantity,Feb 2024 - Installations Quantity,Mar 2024 - Installations Quantity,Apr 2024 - Installations Quantity
3000,0,0,0,0,1,2,0,0,0,0,1,0,0,1,0,0,2,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,2,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,2,0,2,1,1,1,0,1,0,0,0,0,2,1,0,0,0,1,0,1,0,0,1,2,0,1,0,2,0,1,0,0,1,0,0,0,0,0,1,1,1,2,1,0,0,0,0,0,3,0,0,0,0,1,0,0,3,1,1,1,0,0,1,0,0,1,1,1,1,0,1,1,2,3,0,2,1,2,0,0,1,1,0,0,0,0,0,0,1,3,0,2,0,1,0,2,2,1,1,1,1,3,0,0,0,0
3002,0,0,0,0,1,1,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,1,1,0,1,0,0,1,3,0,0,0,1,3,0,0,1,1,0,0,0,1,0,0,0,2,0,1,0,0,1,0,0,0,0,1,1,0,2,2,0,0,0,2,2,0,1,0,0,1,0,1,0,3,1,0,1,0,0,0,1,1,1,2,1,1,0,0,0,1,1,2,1,1,0,1,0,1,1,0,2,0,2,0,0,0,1,2,0,0,1,0,0,1,0,0,0,1,1,1,1,0,0,0,3,0,2,1,1,2,0,0,1,0,0,1,0,0
3003,0,0,1,0,1,1,0,0,2,0,0,0,0,0,0,1,3,0,0,1,0,0,2,1,0,2,0,0,2,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1,0,2,1,0,1,1,0,0,0,1,1,1,1,0,1,2,0,0,0,1,0,0,3,2,0,0,1,0,0,3,0,2,0,0,0,1,1,0,2,0,0,0,1,4,0,0,1,0,1,1,0,2,1,0,1,1,2,0,1,1,0,0,1,1,1,0,1,1,3,0,0,1,2,0,3,0,0,2,0,1,1,0,2,0,1,0,3,2,0,0,0,0,1,3,0,2,0,1,1,3,0,0,2,0,4,0,2,3,0,0,1,1,0,0,0,0
3004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0
3006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,2,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,1,1,0,0,1,0,1,0,1,0,2,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,1,2,0,0,0,0,0,2,0,0,1,1,0,1,0,0,1,0,0,0,0,1,0,0
3008,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,2,0,1,1,0,0,1,0,2,0,0,0,0,0,0,0,0,0,2,0,1,1,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,2,0,1,1,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,2,0,1,0,3,0,0,2,0,2,0,1,1,0,0,0,1,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0
3011,4,2,7,15,19,28,7,7,16,5,5,4,4,4,5,6,10,18,8,9,14,1,2,9,4,3,6,2,7,2,3,3,4,6,6,1,5,5,3,3,3,5,3,6,9,12,6,7,10,7,6,2,5,2,5,4,5,4,4,2,2,1,2,4,1,2,4,6,2,2,3,5,2,2,1,0,4,5,4,6,2,4,6,2,2,1,6,2,5,2,3,5,3,5,9,8,4,9,11,10,4,12,4,4,6,13,11,6,4,4,15,12,7,13,5,3,3,4,9,10,6,5,10,8,8,14,14,6,4,7,14,12,6,5,12,8,7,7,7,10,7,8,7,13,8,14,9,6,8,7,15,9,14,9,7,8,5,6,16,1
3012,12,12,16,15,23,30,17,6,15,4,3,8,4,13,8,15,33,37,10,6,17,4,6,6,6,7,7,3,6,1,7,5,1,11,13,9,10,7,8,10,8,6,7,9,11,7,8,6,9,6,0,5,5,15,9,12,5,10,1,2,2,2,4,7,4,4,5,6,5,4,1,5,4,4,8,5,4,5,5,6,3,4,3,5,4,0,4,3,4,10,5,5,7,11,16,23,12,22,24,17,6,8,8,11,8,17,12,14,5,17,13,12,15,11,7,5,7,12,17,22,7,16,16,18,16,13,20,15,9,14,23,23,13,16,18,16,22,9,8,18,11,11,14,18,12,12,17,12,14,12,10,18,17,15,11,19,10,15,10,7
3013,10,6,12,13,16,26,5,7,14,1,2,6,2,2,10,10,20,14,10,10,27,2,5,6,2,9,2,8,1,4,7,2,4,9,1,1,4,7,6,1,7,5,7,12,10,10,4,8,8,1,7,4,7,5,2,2,0,5,4,8,5,6,2,3,2,1,3,2,1,2,5,4,0,2,3,2,5,5,2,5,4,5,4,8,3,4,5,7,10,4,6,4,6,10,9,7,5,13,19,14,6,2,7,2,7,4,3,7,1,6,9,6,10,10,8,2,2,10,14,8,1,7,11,10,15,7,15,8,6,10,10,15,3,11,7,11,7,10,7,12,9,7,16,18,2,10,9,6,14,10,6,5,8,9,8,12,4,4,6,7
3015,5,8,5,9,9,20,7,5,12,0,3,5,5,5,11,4,14,23,9,4,19,5,2,10,6,6,4,7,3,4,7,7,2,6,3,4,6,8,5,8,9,2,13,10,13,8,10,5,7,9,5,5,4,7,6,4,7,1,2,5,15,19,12,7,5,4,5,5,4,7,5,4,2,3,7,4,4,2,0,2,2,5,25,17,8,5,8,5,7,6,8,8,5,7,12,5,13,9,11,13,10,3,2,7,5,8,12,8,6,9,14,5,11,10,18,4,0,4,24,15,9,10,11,17,11,11,10,4,4,13,11,14,3,10,13,4,6,8,11,10,11,8,25,13,11,8,12,7,9,10,15,12,18,15,16,19,9,9,12,4
