Postcode,"Number of individuals
no.","Taxable income or loss
$"
3000.0,"15,205","803,649,632"
3001.0,"3,915","291,249,133"
3002.0,"3,625","360,147,417"
3003.0,"2,405","130,658,879"
3004.0,"6,100","490,633,298"
3006.0,"8,245","561,233,277"
3008.0,"4,580","315,491,058"
3010.0,70,"4,818,927"
3011.0,"11,030","513,405,557"
3012.0,"13,250","633,430,876"
3013.0,"8,370","499,062,705"
3015.0,"9,560","572,848,696"
3016.0,"9,330","641,307,031"
3018.0,"7,185","362,815,412"
3019.0,"3,695","138,468,017"
3020.0,"19,445","764,405,491"
3021.0,"23,970","910,438,192"
3022.0,"2,040","86,507,808"
3023.0,"30,245","1,401,117,290"
3024.0,"9,945","464,271,109"
3025.0,"5,610","263,214,073"
3026.0,160,"10,258,979"
3027.0,"2,230","115,257,370"
3028.0,"15,880","714,708,567"
3029.0,"40,360","1,857,656,862"
3030.0,"47,250","2,387,732,009"
3031.0,"10,445","601,102,122"
3032.0,"15,580","889,463,134"
3033.0,"7,620","368,966,230"
3034.0,"6,190","301,646,342"
3036.0,"3,985","222,175,774"
3037.0,"25,355","1,169,347,515"
3038.0,"17,315","810,266,415"
3039.0,"8,580","539,999,847"
3040.0,"15,865","1,004,600,724"
3041.0,"7,130","417,885,866"
3042.0,"8,635","424,609,620"
3043.0,"10,205","467,078,008"
3044.0,"13,625","696,154,428"
3046.0,"16,015","692,985,941"
3047.0,"6,885","246,685,304"
3048.0,"6,605","240,718,360"
3049.0,"5,230","247,867,168"
3050.0,65,"3,822,094"
3051.0,"7,285","374,985,713"
3052.0,"2,945","166,988,711"
3053.0,"6,640","329,067,899"
3054.0,"5,560","365,336,395"
3055.0,"7,950","406,220,123"
3056.0,"14,585","749,539,377"
3057.0,"6,030","321,247,568"
3058.0,"18,345","881,801,785"
3059.0,"7,475","375,921,315"
3060.0,"5,580","223,336,433"
3061.0,"2,160","83,192,851"
3062.0,115,"9,682,102"
3063.0,375,"21,972,175"
3064.0,"27,860","1,198,811,549"
3065.0,"6,350","391,164,747"
3066.0,"4,100","230,748,458"
3067.0,"3,445","201,128,850"
3068.0,"11,315","763,512,387"
3070.0,"13,810","819,118,585"
3071.0,"10,500","548,638,434"
3072.0,"17,275","794,381,471"
3073.0,"23,970","1,031,258,179"
3074.0,"9,705","383,054,627"
3075.0,"9,215","358,954,265"
3076.0,"15,185","652,360,522"
3078.0,"6,450","423,720,115"
3079.0,"9,870","697,514,556"
3081.0,"6,425","280,040,734"
3082.0,"17,745","777,575,721"
3083.0,"15,955","693,852,791"
3084.0,"15,300","886,339,897"
3085.0,"7,960","425,590,878"
3086.0,160,"6,801,173"
3087.0,"5,050","245,645,404"
3088.0,"16,590","823,684,110"
3089.0,"7,330","391,676,181"
3090.0,"1,405","99,552,015"
3091.0,"1,070","71,111,432"
3093.0,"2,470","178,189,511"
3094.0,"5,415","278,319,120"
3095.0,"18,370","1,068,405,428"
3096.0,"1,180","58,892,946"
3097.0,915,"59,003,812"
3099.0,"3,035","156,591,775"
3101.0,"15,815","1,420,726,954"
3102.0,"4,055","272,868,252"
3103.0,"10,270","777,288,083"
3104.0,"12,935","837,144,740"
3105.0,"6,450","336,883,728"
3106.0,"11,085","727,240,150"
3107.0,"7,900","404,412,627"
3108.0,"12,435","608,938,982"
3109.0,"16,790","812,180,010"
3111.0,"7,625","453,020,136"
3113.0,"5,330","346,056,921"
3114.0,"2,445","176,138,693"
3115.0,"2,605","181,938,097"
3116.0,"5,795","274,003,069"
3121.0,"18,740","1,255,991,964"
3122.0,"14,930","1,301,484,590"
3123.0,"8,470","702,320,421"
3124.0,"14,465","1,151,161,759"
3125.0,"7,290","359,725,681"
3126.0,"5,570","594,868,383"
3127.0,"11,960","888,684,758"
3128.0,"10,575","514,701,360"
3129.0,"9,410","495,118,089"
3130.0,"18,515","984,664,286"
3131.0,"12,435","598,459,521"
3132.0,"9,375","477,403,357"
3133.0,"13,570","676,226,546"
3134.0,"19,270","973,991,336"
3135.0,"11,205","539,218,360"
3136.0,"24,505","1,154,003,685"
