Postcode,"Individuals
no.","Taxable income or loss4
$"
3000.0,"38,739","2,196,590,108"
3001.0,160,"18,171,306"
3002.0,"3,711","538,093,200"
3003.0,"6,727","466,803,385"
3004.0,"9,435","844,836,398"
3006.0,"20,145","1,523,760,210"
3008.0,"12,107","943,063,893"
3011.0,"17,951","1,234,395,310"
3012.0,"18,169","1,348,707,176"
3013.0,"10,028","968,740,691"
3015.0,"11,831","1,119,717,124"
3016.0,"10,601","1,115,835,527"
3018.0,"8,483","707,159,962"
3019.0,"6,144","355,832,416"
3020.0,"26,433","1,513,622,156"
3021.0,"28,972","1,456,516,300"
3022.0,"2,058","120,381,432"
3023.0,"37,364","2,354,274,291"
3024.0,"23,553","1,547,939,133"
3025.0,"7,496","611,783,293"
3026.0,"3,534","228,296,024"
3027.0,"6,625","473,444,015"
3028.0,"16,939","1,090,253,160"
3029.0,"88,530","5,272,762,334"
3030.0,"76,627","5,450,186,802"
3031.0,"12,177","1,029,317,059"
3032.0,"20,712","1,706,670,148"
3033.0,"8,939","688,043,619"
3034.0,"7,029","521,021,854"
3036.0,"3,843","340,987,746"
3037.0,"30,231","2,000,183,344"
3038.0,"16,564","1,116,423,825"
3039.0,"11,377","1,108,037,273"
3040.0,"18,608","1,795,803,134"
3041.0,"8,813","800,101,586"
3042.0,"10,557","817,018,222"
3043.0,"10,324","672,489,382"
3044.0,"18,063","1,437,156,868"
3046.0,"23,070","1,508,981,874"
3047.0,"10,463","506,103,508"
3048.0,"7,900","387,194,513"
3049.0,"5,964","403,275,166"
3051.0,"10,442","749,689,563"
3052.0,"4,074","301,912,462"
3053.0,"12,638","692,768,395"
3054.0,"5,928","626,762,038"
3055.0,"10,133","777,959,303"
3056.0,"18,648","1,512,120,638"
3057.0,"10,078","845,942,366"
3058.0,"22,783","1,762,499,390"
3059.0,"13,810","1,017,383,464"
3060.0,"7,829","462,335,756"
3061.0,"2,381","127,714,494"
3062.0,86,"10,753,288"
3063.0,377,"28,455,260"
3064.0,"69,206","4,008,226,959"
3065.0,"7,351","746,251,202"
3066.0,"6,963","637,774,427"
3067.0,"6,992","624,734,668"
3068.0,"13,044","1,393,583,027"
3070.0,"16,965","1,686,070,890"
3071.0,"12,290","1,037,380,596"
3072.0,"22,017","1,607,902,317"
3073.0,"30,372","2,036,632,057"
3074.0,"10,854","600,920,750"
3075.0,"12,200","686,652,347"
3076.0,"19,265","1,142,820,432"
3078.0,"8,513","866,111,573"
3079.0,"12,046","1,298,725,778"
3081.0,"8,603","583,286,859"
3082.0,"17,402","1,096,437,312"
3083.0,"19,770","1,249,641,552"
3084.0,"17,397","1,570,781,898"
3085.0,"8,714","682,993,088"
3086.0,72,"6,169,120"
3087.0,"5,446","404,601,302"
3088.0,"16,968","1,297,870,791"
3089.0,"8,310","660,909,378"
3090.0,"1,806","181,010,634"
3091.0,"1,132","131,032,942"
3093.0,"2,584","257,900,447"
3094.0,"5,672","445,822,124"
3095.0,"18,474","1,596,532,340"
3096.0,"1,243","93,024,318"
3097.0,976,"96,148,057"
3099.0,"3,104","231,652,796"
3101.0,"17,054","2,215,830,396"
3102.0,"4,529","464,623,798"
3103.0,"10,807","1,039,045,793"
3104.0,"14,109","1,307,528,403"
3105.0,"7,150","550,412,215"
3106.0,"11,159","1,036,265,893"
3107.0,"8,913","658,936,726"
3108.0,"17,043","1,140,325,508"
3109.0,"19,629","1,314,032,608"
3111.0,"8,197","686,405,898"
3113.0,"5,648","527,129,320"
3114.0,"2,650","275,714,994"
3115.0,"2,656","284,923,683"
3116.0,"7,553","534,186,224"
3121.0,"22,700","2,332,192,892"
3122.0,"17,147","2,175,455,517"
3123.0,"10,825","1,316,757,718"
3124.0,"15,719","1,771,883,191"
3125.0,"10,300","680,531,796"
3126.0,"5,548","785,297,787"
3127.0,"13,163","1,371,942,706"
3128.0,"15,542","965,207,105"
3129.0,"11,509","856,090,357"
3130.0,"21,634","1,701,638,542"
3131.0,"14,544","1,013,259,021"
3132.0,"11,075","839,743,974"
3133.0,"14,588","1,039,428,318"
3134.0,"22,283","1,678,523,754"
3135.0,"12,779","945,979,621"
3136.0,"28,662","2,016,786,725"
3137.0,"9,156","619,841,290"
3138.0,"14,225","962,790,527"
3139.0,"9,095","582,849,080"
3140.0,"11,250","775,602,652"
3141.0,"19,168","2,304,119,248"
3142.0,"9,857","2,380,576,390"
3143.0,"6,978","936,092,536"
3144.0,"7,996","1,208,469,538"
3145.0,"16,265","1,836,607,138"
3146.0,"17,774","2,139,472,510"
3147.0,"9,621","911,889,884"
3148.0,"6,313","453,674,449"
3149.0,"23,653","1,811,531,250"
3150.0,"41,444","2,877,820,989"
3151.0,"7,478","471,155,259"
3152.0,"22,481","1,522,235,322"
3153.0,"13,229","854,884,149"
3154.0,"2,668","187,312,206"
3155.0,"14,535","933,596,258"
3156.0,"24,155","1,705,051,554"
3158.0,"4,286","305,158,553"
3159.0,"1,643","121,810,084"
3160.0,"5,710","416,306,114"
3161.0,"11,974","1,421,770,701"
3162.0,"12,130","1,235,569,411"
3163.0,"23,118","1,858,002,384"
3165.0,"18,867","1,548,709,897"
3166.0,"16,179","1,276,494,787"
3167.0,"6,267","448,585,104"
3168.0,"14,949","758,644,844"
3169.0,"13,192","787,625,664"
3170.0,"12,431","842,061,536"
3171.0,"13,371","669,989,052"
3172.0,"13,977","842,977,691"
3173.0,"18,732","1,174,355,828"
3174.0,"23,483","1,231,850,374"
3175.0,"29,279","1,588,830,769"
3177.0,"6,402","319,636,387"
3178.0,"22,083","1,563,903,766"
3179.0,"3,887","252,024,591"
3180.0,"4,945","315,461,843"
3181.0,"14,721","1,502,315,524"
3182.0,"17,664","1,535,227,224"
3183.0,"12,787","1,178,190,920"
3184.0,"10,957","1,141,858,675"
3185.0,"9,265","995,109,170"
3186.0,"16,895","2,711,408,787"
3187.0,"11,005","1,233,195,300"
3188.0,"12,043","1,419,122,045"
3189.0,"4,221","330,111,884"
3190.0,"7,826","693,052,514"
3191.0,"7,234","857,161,933"
3192.0,"15,411","1,214,086,123"
3193.0,"13,876","1,536,563,436"
3194.0,"8,902","722,238,112"
3195.0,"23,908","2,014,857,644"
3196.0,"16,541","1,275,714,569"
3197.0,"7,715","614,511,778"
3198.0,"10,232","690,109,628"
3199.0,"32,875","2,217,552,986"
3200.0,"2,698","145,869,279"
3201.0,"13,627","865,167,595"
3202.0,"1,750","131,754,219"
3204.0,"21,774","1,928,832,185"
3205.0,"9,063","979,164,202"
3206.0,"6,954","1,170,193,251"
3207.0,"12,089","1,366,679,836"
3211.0,784,"68,301,631"
3212.0,"12,028","827,798,324"
3213.0,"2,900","208,376,210"
