"Taxation statistics 2021–22 Individuals: Selected items, by state/territory1, Statistical Area Level 4 (SA4)2, and postcode, 2021–22 income year3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
State/ Territory1,Statistical Area Level 4 (SA4)2,Postcode,"Individuals
no.","Taxable income or loss4
no.","Taxable income or loss4
$","Tax on taxable income
no.","Tax on taxable income
$","Medicare levy
no.","Medicare levy
$","Medicare levy surcharge
no.","Medicare levy surcharge
$","Total Medicare levy liability
no.","Total Medicare levy liability
$","Net tax
no.","Net tax
$","HELP assessment debt
no.","HELP assessment debt
$","Salary or wages
no.","Salary or wages
$","Tax withheld from salary or wages
no.","Tax withheld from salary or wages
$","Allowances earnings tips directors fees etc
no.","Allowances earnings tips directors fees etc
$","Employer lump sum payments amount A
no.","Employer lump sum payments amount A
$","Employment termination payments taxable component
no.","Employment termination payments taxable component
$","Australian government allowances and payments
no.","Australian government allowances and payments
$","Australian government pensions and allowances
no.","Australian government pensions and allowances
$","Australian annuities and superannuation income streams taxable component taxed element
no.","Australian annuities and superannuation income streams taxable component taxed element
$","Australian annuities and superannuation income streams taxable component untaxed element
no.","Australian annuities and superannuation income streams taxable component untaxed element
$","Gross interest
no.","Gross interest
$","Dividends unfranked
no.","Dividends unfranked
$","Dividends franked
no.","Dividends franked
$","Dividends franking credit
no.","Dividends franking credit
$","Total Income or Loss4
no.","Total Income or Loss4
$","Total work related car expenses
no.","Total work related car expenses
$","Work related travel expenses
no.","Work related travel expenses
$","Total work related uniform/clothing expenses
no.","Total work related uniform/clothing expenses
$","Total work related self education expenses
no.","Total work related self education expenses
$","Other work related expenses
no.","Other work related expenses
$","Total work related expenses
no.","Total work related expenses
$","Low value pool deduction
no.","Low value pool deduction
$","Interest deductions
no.","Interest deductions
$","Dividend deductions
no.","Dividend deductions
$","Gifts or donations
no.","Gifts or donations
$","Cost of managing tax affairs - Interest charged by the ATO
no.","Cost of managing tax affairs - Interest charged by the ATO
$","Cost of managing tax affairs - Litigation costs
no.","Cost of managing tax affairs - Litigation costs
$","Cost of managing tax affairs - Other expenses incurred in managing your tax affairs
no.","Cost of managing tax affairs - Other expenses incurred in managing your tax affairs
$","Total deductions4
no.","Total deductions4
$","Total reportable fringe benefits amounts - Employers exempt from FBT under section 57A of the FBTAA 1986
no.","Total reportable fringe benefits amounts - Employers exempt from FBT under section 57A of the FBTAA 1986
$","Total reportable fringe benefits amounts - Employers not exempt from FBT under section 57A of the FBTAA 1986
no.","Total reportable fringe benefits amounts - Employers not exempt from FBT under section 57A of the FBTAA 1986
$","Reportable employer superannuation contributions
no.","Reportable employer superannuation contributions
$","Net primary production distribution
no.","Net primary production distribution
$","Net non primary production distribution
no.","Net non primary production distribution
$","Share of franking credit from franked dividends
no.","Share of franking credit from franked dividends
$","Net PSI transferred
no.","Net PSI transferred
$","Deferred non-commercial business losses primary production deferred losses
no.","Deferred non-commercial business losses primary production deferred losses
$","Deferred non-commercial business losses non primary production deferred losses
no.","Deferred non-commercial business losses non primary production deferred losses
$","Capital gains net capital gain
no.","Capital gains net capital gain
$","Estimated tax on net capital gains
no.","Estimated tax on net capital gains
$","Capital gains total current year capital gains
no.","Capital gains total current year capital gains
$","Capital gains net capital losses carrier forward
no.","Capital gains net capital losses carrier forward
$","Foreign source income assessable foreign source income
no.","Foreign source income assessable foreign source income
$","Foreign source income other net foreign source income
no.","Foreign source income other net foreign source income
$","Foreign source income foreign income tax offset
no.","Foreign source income foreign income tax offset
$","Gross rent
no.","Gross rent
$","Rent interest deductions
no.","Rent interest deductions
$","Rent capital works deductions
no.","Rent capital works deductions
$","Rent other rental deductions
no.","Rent other rental deductions
$",Net rent - profit no.,"Net rent - profit 
$","Net rent - loss 
no.","Net rent - loss 
$","Net rent4
no.","Net rent4
$","Other income category 1
no.","Other income category 1
$","Other income category 2 (ATO Interest)
no.","Other income category 2 (ATO Interest)
$","Other income category 3 (FHSS)
no.","Other income category 3 (FHSS)
$","Other income category 4
no.","Other income category 4
$","Personal superannuation contributions
no.","Personal superannuation contributions
$","Other deductions
no.","Other deductions
$","Total business income - primary production
no.","Total business income - primary production
$","Total business income non-primary production
no.","Total business income non-primary production
$","Total business income4
no.","Total business income4
$","Total business expenses4
no.","Total business expenses4
$","Net income or loss from business
no.","Net income or loss from business
$","Estimated business net tax
no.","Estimated business net tax
$","Australian superannuation income stream tax offset
no.","Australian superannuation income stream tax offset
$","Small business income tax offset
no.","Small business income tax offset
$","Low income tax offset
no.","Low income tax offset
$","Low and middle income tax offset
no.","Low and middle income tax offset
$","HELP debt balance
no.","HELP debt balance
$","People with private health insurance
no.","Private health insurance - your Australian Government rebate received
no.","Private health insurance - your Australian Government rebate received
$","Private health insurance rebate credited (rebate increased)
no.","Private health insurance rebate credited (rebate increased)
$","Excess private health reduction or refund (rebate reduced)
no.","Excess private health reduction or refund (rebate reduced)
$","Total private health insurance rebate
no.","Total private health insurance rebate
$"
ACT,Australian Capital Territory,2600,"5,951","5,894","791,214,764","5,272","240,392,707","4,674","14,828,062",223,"333,741","4,669","15,122,698","4,967","243,431,491",561,"2,947,133","4,044","462,547,623","3,944","146,044,121",624,"4,376,900",39,"1,385,451",67,"1,065,881",160,"1,071,485",149,"1,675,609",105,"1,782,665","1,075","61,858,640","3,791","2,857,798","1,137","1,929,428","1,937","36,670,656","1,929","15,010,773","5,917","822,383,546",805,"2,066,931",354,"382,516",843,"236,410",246,"790,586","2,815","4,512,156","3,016","7,988,599",296,"139,343",112,"394,059",421,"1,765,007","2,262","4,838,843",152,"273,099",3,"133,960","2,362","2,169,790","4,750","30,889,761",162,"3,601,122",149,"2,576,281",751,"6,498,512",51,"-114,065","1,547","75,583,891","1,066","14,710,167",69,"4,434,650",8,"253,225",71,"1,421,285","1,108","92,971,516",979,"24,503,901","1,373","142,246,450",758,"46,993,683","1,140","7,094,721","1,037","3,339,316",964,"1,200,505","1,521","48,848,448","1,100","13,719,282",969,"4,517,783","1,541","28,438,921",870,"9,818,634",672,"-7,650,042","1,545","2,168,592",46,"336,596",20,"40,287",7,"27,870",164,"1,321,036",583,"11,203,250",366,"1,831,843",17,"664,760",406,"69,096,142",422,"69,760,902",394,"32,984,319",456,"35,454,927",315,"12,701,207",891,"4,773,984",356,"258,903","1,513","581,873","3,144","3,666,352",945,"28,397,718","4,841","3,627","2,829,846",364,"177,075","1,985","1,156,764","2,713","1,850,157"
ACT,Australian Capital Territory,2601,"3,614","3,551","265,604,097","2,646","66,201,731","2,117","4,498,454",210,"285,095","2,115","4,778,217","2,457","66,830,507",494,"2,598,788","3,052","207,990,331","2,941","57,885,632",415,"1,858,016",23,"307,629",40,"413,523",298,"2,231,466",28,"210,590",33,"306,705",200,"10,155,302","2,183","561,450",306,"245,491",522,"9,641,159",516,"3,832,581","3,553","274,874,482",366,"690,890",245,"346,424",626,"174,359",199,"878,291","1,663","2,411,721","1,845","4,501,685",109,"65,158",31,"53,510",106,"331,834",764,"1,249,109",44,"50,397",2,330,837,"411,940","2,237","9,177,255",51,"1,173,784",57,"1,092,623",279,"1,961,699",12,"13,021",400,"11,088,079",319,"1,125,986",65,"2,313,907",4,"66,916",50,"530,484",443,"8,706,833",380,"2,830,425",529,"18,632,635",228,"7,177,490",420,"1,945,742",365,"571,082",355,"205,962",512,"15,947,367",378,"4,441,529",309,"1,849,774",513,"9,754,391",280,"2,726,251",236,"-2,824,576",517,"-98,325",26,"114,022",4,"4,174",10,"149,909",101,"339,654",126,"1,862,705",118,"606,864",6,"29,558",197,"16,001,487",203,"16,031,045",174,"7,971,619",221,"7,641,218",133,"2,290,654",150,"776,178",125,"79,893","1,117","454,652","1,928","2,216,091","1,107","33,509,196","1,965","1,235","635,476",224,"68,617",571,"215,850","1,132","488,243"
ACT,Australian Capital Territory,2602,"23,085","22,892","2,026,942,835","20,260","502,430,305","17,432","36,721,592","1,311","1,713,468","17,430","38,403,498","18,948","506,150,981","3,039","14,147,685","18,786","1,609,866,190","18,450","451,660,706","3,119","7,746,060",146,"3,885,189",213,"3,315,097","1,321","9,416,910",682,"7,701,096",464,"6,626,946","2,595","120,591,336","13,656","4,606,509","3,250","3,177,402","4,897","40,611,415","4,872","16,714,553","22,914","2,099,972,278","3,495","7,007,734","1,532","1,219,012","4,750","1,370,735","1,058","2,749,030","13,209","17,452,320","14,281","29,798,831",838,"349,049",216,"455,389",946,"1,517,746","8,400","10,479,726",253,"322,924",8,"30,973","7,481","3,627,941","18,012","72,020,137",664,"16,244,426",407,"5,224,522","2,763","19,480,510",96,"-663,491","3,693","79,108,442","2,789","9,495,396",343,"14,128,070",27,"583,454",323,"4,315,280","3,293","77,781,015","2,926","27,793,764","3,897","157,621,061","1,785","34,864,002","3,251","13,907,099","2,888","6,125,592","2,775","1,498,606","4,079","96,213,437","3,224","27,250,390","2,484","9,155,950","4,098","55,303,696","2,385","19,162,576","1,728","-14,659,177","4,120","4,503,399",129,"930,866",37,"46,848",31,"381,678",555,"2,076,954","1,251","22,005,413","1,031","3,176,556",43,"1,546,092","1,844","167,038,487","1,881","168,584,579","1,719","115,243,406","2,004","48,712,972","1,255","12,356,143","1,957","8,486,387","1,180","659,345","7,635","3,070,396","14,645","17,093,240","5,462","161,833,614","15,791","12,033","6,885,156","1,533","500,555","5,784","2,315,498","10,520","5,070,212"
ACT,Australian Capital Territory,2603,"7,558","7,513","1,055,186,744","6,784","327,315,114","6,021","19,914,096",321,"473,499","6,013","20,378,147","6,398","334,594,235",956,"4,860,743","5,565","588,562,562","5,431","182,925,467",909,"3,824,446",67,"2,546,493",62,"2,876,381",274,"1,950,263",159,"1,880,265",149,"2,134,822","1,047","60,861,490","4,693","3,283,831","1,318","3,159,096","2,180","53,171,114","2,176","21,582,459","7,518","1,101,377,327","1,110","2,922,353",537,"524,487","1,240","372,101",302,"1,094,077","3,849","5,901,137","4,216","10,814,155",314,"158,135",138,"1,093,441",474,"1,972,610","2,674","12,109,835",206,"428,164",2,"3,687","2,773","2,423,801","6,011","45,602,156",221,"4,951,686",178,"2,700,813",891,"7,880,502",65,"-625,814","1,977","170,904,352","1,365","26,991,499",111,"6,759,238",12,"550,671",93,"2,277,087","1,371","93,283,348","1,214","35,702,448","1,684","193,389,453",857,"26,689,260","1,372","9,514,999","1,210","3,938,877","1,158","720,469","1,807","57,931,131","1,349","16,528,934","1,141","5,651,806","1,812","35,196,491","1,044","11,999,026",774,"-11,440,690","1,820","558,336",50,"393,519",23,"34,248",7,"132,290",210,"2,008,042",702,"13,451,182",535,"3,074,233",11,"168,742",520,"145,845,727",531,"146,014,469",490,"83,027,068",572,"60,778,190",391,"24,324,873",831,"4,352,616",478,"336,462","1,991","769,666","4,092","4,821,063","1,549","47,173,043","5,926","4,315","3,157,080",450,"182,777","2,387","1,378,792","3,197","1,961,065"
ACT,Australian Capital Territory,2604,"9,137","9,060","953,261,746","8,268","253,104,828","7,298","17,405,031",601,"782,471","7,294","18,176,938","7,880","257,395,222","1,393","7,625,908","7,455","749,107,480","7,336","221,272,747","1,232","3,565,466",89,"2,264,831",118,"2,388,128",363,"2,690,431",232,"2,509,148",165,"2,058,104","1,040","53,767,385","5,403","2,174,850","1,273","1,871,223","2,091","22,812,595","2,078","9,308,586","9,077","988,490,690","1,541","3,126,393",725,"642,441","1,940","581,290",538,"1,580,230","5,470","7,546,757","5,918","13,477,111",368,"170,622",94,"451,936",445,"903,360","3,324","6,194,721",135,"142,380",6,"1,024","3,560","2,035,465","7,529","34,653,426",278,"5,939,591",259,"3,298,704","1,106","8,458,598",36,"-635,586","1,582","47,821,650","1,233","8,406,600",122,"6,889,583",5,"816,069",107,"2,275,758","1,394","40,680,981","1,279","15,081,435","1,722","87,994,486",870,"21,210,122","1,423","6,732,871","1,263","2,199,396","1,211","703,964","2,017","51,081,806","1,665","15,244,427","1,285","5,425,945","2,035","30,268,211","1,104","8,578,203",933,"-8,433,179","2,038","145,024",66,"366,845",18,"14,613",16,"174,127",216,"759,287",535,"9,329,252",499,"1,806,125",13,"936,134",633,"55,512,285",645,"56,448,419",591,"35,790,351",674,"18,940,699",440,"5,625,108",798,"3,820,569",476,"276,715","2,449","930,420","5,588","6,611,501","1,969","64,703,686","6,649","5,281","3,234,598",641,"221,409","2,739","1,178,705","4,405","2,277,302"
ACT,Australian Capital Territory,2605,"8,111","8,064","863,964,219","7,189","237,052,165","6,298","15,978,004",309,"430,621","6,284","16,394,385","6,754","239,413,030",576,"2,687,168","6,036","617,198,760","5,912","184,443,877","1,204","4,635,220",64,"2,102,337",79,"2,190,532",262,"1,972,865",285,"2,773,448",194,"2,644,744","1,420","69,775,219","4,799","2,033,453","1,578","1,444,415","2,265","26,399,817","2,260","10,923,479","8,072","896,793,554","1,246","2,712,337",508,"569,803","1,577","447,477",341,"986,357","4,330","6,244,382","4,694","10,960,356",349,"166,251",126,"384,526",451,"1,203,936","3,152","4,680,946",136,"283,819",4,"35,141","3,240","1,862,349","6,505","32,620,363",416,"9,167,857",169,"2,282,275","1,011","7,480,889",32,"10,158","1,624","65,931,445","1,156","9,658,528",117,"6,064,477",5,"369,269",91,"1,259,188","1,278","33,089,093","1,135","11,042,715","1,524","69,556,896",823,"16,712,577","1,308","5,484,604","1,151","2,363,147","1,092","491,126","1,722","44,492,630","1,323","13,161,740","1,115","3,838,600","1,725","25,902,434",976,"8,672,831",754,"-7,083,206","1,734","1,589,625",44,"616,870",13,"3,201",8,"86,621",197,"1,032,913",577,"10,426,436",531,"2,468,481",13,"575,731",611,"96,682,498",621,"97,258,229",567,"66,034,074",651,"30,149,274",444,"9,841,182","1,108","5,194,310",495,"309,741","2,500","960,634","4,636","5,434,720","1,186","29,803,758","6,298","4,694","3,253,578",534,"207,534","2,383","1,148,120","3,761","2,312,992"
ACT,Australian Capital Territory,2606,"8,907","8,835","755,048,299","7,984","183,311,366","6,480","13,209,543",491,"613,495","6,479","13,816,794","7,524","183,990,740","1,091","5,360,540","7,405","599,948,631","7,310","160,465,329","2,025","3,793,020",59,"670,497",129,"1,027,640",393,"2,638,533",289,"3,002,209",151,"2,150,604",842,"38,466,508","5,165","1,648,539",968,"806,011","1,588","17,614,111","1,581","7,210,564","8,842","784,560,886","1,736","3,841,336",809,"736,914","2,959","961,440",595,"1,908,845","5,415","7,300,353","5,965","14,748,888",276,"159,466",90,"259,605",294,"523,621","2,964","3,182,946",101,"185,327",7,"2,415","3,214","1,287,834","7,216","29,405,671",718,"14,900,417",105,"1,456,796",942,"5,759,152",20,"128,498","1,165","40,630,295",820,"5,328,506",113,"5,601,218",6,"99,314",105,"1,242,305","1,011","21,905,994",908,"6,922,247","1,225","46,269,060",635,"12,076,956",963,"3,493,393",848,"1,586,545",810,"327,502","1,323","41,341,099","1,074","10,307,433",842,"4,273,702","1,332","23,978,810",730,"9,008,189",604,"-6,232,558","1,336","2,775,631",65,"430,228",25,"45,921",18,"295,996",232,"1,162,663",434,"7,330,055",391,"1,665,394",9,"73,718",692,"66,739,758",701,"66,813,476",641,"44,975,110",731,"20,527,020",490,"6,201,274",647,"2,727,807",472,"240,555","3,303","1,218,923","6,264","7,601,097","1,622","47,056,589","5,440","4,339","2,576,570",574,"162,085","1,934","784,965","3,909","1,953,690"
ACT,Australian Capital Territory,2607,"9,988","9,918","933,086,899","8,776","241,983,292","7,543","17,150,006",459,"648,375","7,539","17,778,472","8,114","242,301,146",754,"3,495,890","7,363","667,850,286","7,226","190,029,039","1,606","4,042,662",80,"2,768,452",104,"2,746,025",340,"2,418,094",448,"4,181,036",219,"3,142,077","1,667","79,265,788","5,872","2,651,435","1,704","1,550,385","2,571","31,460,806","2,564","12,525,230","9,931","969,717,289","1,690","3,865,557",676,"698,922","2,342","690,913",433,"1,145,709","5,265","7,386,952","5,794","13,788,053",416,"197,171",153,"328,886",483,"1,267,556","3,756","3,921,807",140,"320,611",6,"2,439","3,834","2,014,089","7,911","35,978,833",519,"11,963,251",168,"2,032,105","1,210","8,898,829",36,"-349,008","1,732","62,153,738","1,169","9,944,523",100,"4,915,810",12,"451,112",118,"1,724,001","1,386","36,571,034","1,201","12,239,378","1,689","77,129,287",960,"25,091,354","1,347","6,178,022","1,160","1,950,918","1,088","499,492","1,907","50,509,592","1,508","14,414,006","1,284","4,891,770","1,917","28,661,078","1,077","9,777,320",847,"-7,233,945","1,926","2,543,375",62,"645,634",20,"80,346",4,"24,239",217,"1,025,775",562,"9,823,302",557,"4,172,541",21,"797,292",708,"83,333,280",727,"84,130,572",676,"49,455,549",777,"32,949,980",505,"10,812,518","1,302","6,089,029",547,"338,222","3,384","1,309,621","6,178","7,212,781","1,417","35,838,642","7,378","5,701","3,985,338",673,"286,086","2,631","1,203,378","4,912","3,068,047"
ACT,Australian Capital Territory,2609,583,574,"55,639,067",502,"15,592,237",417,"1,015,551",25,"44,262",417,"1,059,813",455,"15,866,923",34,"162,681",439,"28,879,312",427,"7,235,484",97,"216,067",5,"29,153",12,"57,290",63,"523,377",41,"580,278",5,"81,391",34,"1,301,270",289,"118,647",46,"32,481",82,"2,510,774",82,"946,484",576,"57,871,466",111,"251,805",37,"48,941",215,"67,008",14,"24,698",266,"269,750",320,"662,202",20,"11,939",1,"44,842",8,"42,850",135,"77,242",15,"20,174",1,100,193,"157,022",415,"1,370,873",17,"386,520",6,"65,823",49,"263,495",9,"-110,393",92,"5,683,768",50,"713,499",5,"180,299",2,"110,294",4,"8,284",57,"14,165,809",52,"6,034,026",63,"24,243,726",32,"3,149,779",39,"69,148",36,"30,324",29,"4,198",78,"2,629,105",51,"504,763",47,"265,328",78,"1,243,888",50,"852,452",28,"-237,199",79,"615,253",2,"1,854",4,562,1,"2,594",12,"131,953",21,"299,753",24,"52,914",11,"758,721",48,"8,580,646",57,"9,339,367",54,"7,979,708",59,"1,317,095",36,"310,061",25,"88,341",36,"24,453",244,"88,874",382,"461,903",71,"1,530,490",274,222,"134,930",23,"5,871",86,"43,553",192,"97,248"
ACT,ACT other,2610,53,52,"3,808,558",47,"828,323",21,"33,110",1,"1,576",21,"34,686",45,"791,852",5,"16,766",46,"3,568,025",46,"844,658",5,"6,025",0,0,0,0,3,"11,949",2,"17,796",0,0,1,"76,819",34,"6,377",11,"1,215",15,"15,109",15,"6,470",53,"4,051,020",7,"10,950",2,125,36,"14,228",5,"5,993",41,"53,062",46,"84,358",0,0,1,86,3,"3,389",12,"7,150",0,0,0,0,16,"7,698",48,"133,241",1,"29,998",11,"72,257",3,"12,894",2,"106,510",8,"36,960",6,"8,268",0,0,0,0,0,0,10,"44,283",10,"9,579",13,"90,479",3,"3,776",7,"4,152",7,"4,152",6,197,10,"333,920",8,"55,635",4,"16,788",10,"172,744",6,"95,947",4,"-7,194",10,"88,753",0,0,0,0,0,0,1,2,2,"28,000",2,"2,560",0,0,2,"25,623",2,"25,623",2,"8,364",2,"17,259",2,"2,768",1,"7,681",2,494,29,"5,874",39,"55,676",6,"147,616",18,9,"4,709",2,749,3,"1,337",8,"4,121"
