"Taxation statistics 2022–23 Individuals: Selected items, by state/territory1, Statistical Area Level 4 (SA4)2, and postcode, 2022–23 income year3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
State/ Territory1,Statistical Area Level 4 (SA4)2,Postcode,"Individuals
no.","Taxable income or loss4
no.","Taxable income or loss4
$","Tax on taxable income
no.","Tax on taxable income
$","Medicare levy
no.","Medicare levy
$","Medicare levy surcharge
no.","Medicare levy surcharge
$","Total Medicare levy liability
no.","Total Medicare levy liability
$","Net tax
no.","Net tax
$","HELP assessment debt
no.","HELP assessment debt
$","Salary or wages
no.","Salary or wages
$","Tax withheld from salary or wages
no.","Tax withheld from salary or wages
$","Allowances earnings tips directors fees etc
no.","Allowances earnings tips directors fees etc
$","Employer lump sum payments amount A
no.","Employer lump sum payments amount A
$","Employment termination payments taxable component
no.","Employment termination payments taxable component
$","Australian government allowances and payments
no.","Australian government allowances and payments
$","Australian government pensions and allowances
no.","Australian government pensions and allowances
$","Australian annuities and superannuation income streams taxable component taxed element
no.","Australian annuities and superannuation income streams taxable component taxed element
$","Australian annuities and superannuation income streams taxable component untaxed element
no.","Australian annuities and superannuation income streams taxable component untaxed element
$","Gross interest
no.","Gross interest
$","Dividends unfranked
no.","Dividends unfranked
$","Dividends franked
no.","Dividends franked
$","Dividends franking credit
no.","Dividends franking credit
$","Total Income or Loss4
no.","Total Income or Loss4
$","Total work related car expenses
no.","Total work related car expenses
$","Work related travel expenses
no.","Work related travel expenses
$","Total work related uniform/clothing expenses
no.","Total work related uniform/clothing expenses
$","Total work related self education expenses
no.","Total work related self education expenses
$","Other work related expenses
no.","Other work related expenses
$","Total work related expenses
no.","Total work related expenses
$","Low value pool deduction
no.","Low value pool deduction
$","Interest deductions
no.","Interest deductions
$","Dividend deductions
no.","Dividend deductions
$","Gifts or donations
no.","Gifts or donations
$","Cost of managing tax affairs - Interest charged by the ATO
no.","Cost of managing tax affairs - Interest charged by the ATO
$","Cost of managing tax affairs - Litigation costs
no.","Cost of managing tax affairs - Litigation costs
$","Cost of managing tax affairs - Other expenses incurred in managing your tax affairs
no.","Cost of managing tax affairs - Other expenses incurred in managing your tax affairs
$","Total deductions4
no.","Total deductions4
$","Total reportable fringe benefits amounts - Employers exempt from FBT under section 57A of the FBTAA 1986
no.","Total reportable fringe benefits amounts - Employers exempt from FBT under section 57A of the FBTAA 1986
$","Total reportable fringe benefits amounts - Employers not exempt from FBT under section 57A of the FBTAA 1986
no.","Total reportable fringe benefits amounts - Employers not exempt from FBT under section 57A of the FBTAA 1986
$","Reportable employer superannuation contributions
no.","Reportable employer superannuation contributions
$","Net primary production distribution
no.","Net primary production distribution
$","Net non primary production distribution
no.","Net non primary production distribution
$","Share of franking credit from franked dividends
no.","Share of franking credit from franked dividends
$","Net PSI transferred
no.","Net PSI transferred
$","Deferred non-commercial business losses primary production deferred losses
no.","Deferred non-commercial business losses primary production deferred losses
$","Deferred non-commercial business losses non primary production deferred losses
no.","Deferred non-commercial business losses non primary production deferred losses
$","Capital gains net capital gain
no.","Capital gains net capital gain
$","Estimated tax on net capital gains
no.","Estimated tax on net capital gains
$","Capital gains total current year capital gains
no.","Capital gains total current year capital gains
$","Capital gains net capital losses carrier forward
no.","Capital gains net capital losses carrier forward
$","Foreign source income assessable foreign source income
no.","Foreign source income assessable foreign source income
$","Foreign source income other net foreign source income
no.","Foreign source income other net foreign source income
$","Foreign source income foreign income tax offset
no.","Foreign source income foreign income tax offset
$","Gross rent
no.","Gross rent
$","Rent interest deductions
no.","Rent interest deductions
$","Rent capital works deductions
no.","Rent capital works deductions
$","Rent other rental deductions
no.","Rent other rental deductions
$",Net rent - profit no.,"Net rent - profit 
$","Net rent - loss 
no.","Net rent - loss 
$","Net rent4
no.","Net rent4
$","Other income category 1
no.","Other income category 1
$","Other income category 2 (ATO Interest)
no.","Other income category 2 (ATO Interest)
$","Other income category 3 (FHSS)
no.","Other income category 3 (FHSS)
$","Other income category 4
no.","Other income category 4
$","Personal superannuation contributions
no.","Personal superannuation contributions
$","Other deductions
no.","Other deductions
$","Total business income - primary production
no.","Total business income - primary production
$","Total business income non-primary production
no.","Total business income non-primary production
$","Total business income4
no.","Total business income4
$","Total business expenses4
no.","Total business expenses4
$","Net income or loss from business
no.","Net income or loss from business
$","Estimated business net tax
no.","Estimated business net tax
$","Australian superannuation income stream tax offset
no.","Australian superannuation income stream tax offset
$","Small business income tax offset
no.","Small business income tax offset
$","Low income tax offset
no.","Low income tax offset
$","HELP debt balance
no.","HELP debt balance
$","People with private health insurance
no.","Private health insurance - your Australian Government rebate received
no.","Private health insurance - your Australian Government rebate received
$","Private health insurance rebate credited (rebate increased)
no.","Private health insurance rebate credited (rebate increased)
$","Excess private health reduction or refund (rebate reduced)
no.","Excess private health reduction or refund (rebate reduced)
$","Total private health insurance rebate
no.","Total private health insurance rebate
$"
ACT,Australian Capital Territory,2600,"6,205","6,154","807,622,914","5,511","241,931,713","4,831","14,889,148",294,"405,536","4,832","15,287,467","5,267","248,658,940",563,"3,267,164","4,213","484,889,829","4,117","156,159,178","1,275","15,501,362",47,"1,155,534",80,"3,259,980",109,"826,658",141,"1,656,928",97,"1,519,560","1,094","63,890,907","4,641","11,946,025","1,190","2,109,064","2,180","37,356,867","2,168","15,209,611","6,169","844,649,160",908,"2,475,034",416,"572,643",934,"274,804",326,"841,348","2,768","4,248,910","3,040","8,412,739",289,"126,424",102,"566,129",390,"2,011,544","2,258","7,821,968",195,"348,766",5,"2,979","2,420","2,175,929","4,843","36,201,883",164,"3,734,228",205,"6,852,386",712,"6,070,230",55,"-323,434","1,562","96,087,044","1,142","15,104,427",80,"5,708,009",9,"228,743",75,"2,122,824",994,"48,295,051",895,"18,048,353","1,272","105,237,551",758,"52,795,363","1,216","8,323,421","1,103","3,919,710","1,036","1,195,046","1,521","52,225,155","1,095","20,987,936",992,"4,788,279","1,528","29,483,905",791,"9,251,824",741,"-12,290,606","1,533","-3,038,782",45,"339,325",27,"59,434",3,"93,212",141,"1,408,687",600,"12,480,861",377,"2,094,186",12,"605,240",422,"64,912,216",433,"65,517,456",393,"25,696,750",466,"37,962,046",332,"13,775,776",932,"5,077,761",390,"282,489","1,563","613,939",943,"29,966,050","4,992","3,651","2,914,057",389,"188,386","2,044","1,173,187","2,688","1,929,256"
ACT,Australian Capital Territory,2601,"3,599","3,554","260,249,690","2,598","64,398,135","2,014","4,348,094",228,"269,892","2,011","4,609,855","2,435","67,117,449",439,"2,406,879","2,997","206,653,512","2,897","58,680,730",772,"4,891,523",12,"82,509",37,"208,898",200,"1,561,709",31,"289,078",30,"231,228",201,"10,035,380","2,585","3,183,185",285,"227,704",531,"7,687,298",528,"3,085,444","3,559","269,250,270",390,"858,120",274,"470,370",644,"197,650",267,"806,662","1,474","1,942,089","1,703","4,274,891",82,"42,457",26,"89,111",95,"416,822",739,"774,556",44,"80,298",3,"1,587",767,"404,842","2,094","8,951,674",59,"1,285,121",52,"1,074,321",255,"1,530,680",13,690,379,"9,701,704",310,"1,039,539",59,"1,856,419",4,"73,751",41,"500,442",317,"5,699,600",287,"2,069,731",406,"13,434,814",238,"6,711,030",423,"2,646,505",362,"593,341",359,"343,492",421,"14,445,307",313,"5,318,630",262,"1,379,437",422,"8,037,000",225,"2,457,325",200,"-2,765,705",425,"-308,380",24,"105,105",7,649,3,"53,453",63,"501,990",127,"2,381,355",113,"431,483",7,"41,853",193,"27,716,510",199,"27,758,363",166,"19,381,759",218,"8,076,248",122,"2,771,698",157,"794,267",131,"79,952","1,030","439,476",914,"30,294,331","1,858","1,144","601,069",239,"70,117",537,"212,130","1,075","459,057"
ACT,Australian Capital Territory,2602,"23,679","23,501","2,134,457,988","20,805","532,124,397","17,836","38,534,597","1,560","2,085,975","17,833","40,580,957","19,748","553,979,371","2,887","13,589,052","19,180","1,717,767,066","18,830","498,283,520","5,875","35,664,311",171,"2,786,535",297,"3,729,269","1,033","7,947,409",671,"7,990,964",432,"6,109,728","2,634","125,568,068","16,899","21,878,320","3,234","3,040,977","5,742","36,266,840","5,704","14,804,193","23,525","2,210,384,392","4,060","9,013,441","1,916","2,053,223","5,110","1,639,027","1,629","3,672,570","12,769","15,420,502","14,144","31,798,763",801,"353,713",260,"679,759",951,"2,085,261","8,350","10,118,546",395,"571,708",23,"6,216","7,731","4,104,046","18,212","75,336,547",664,"15,943,165",491,"7,905,738","2,663","18,530,520",94,"-74,264","3,787","86,600,526","2,983","11,005,340",306,"11,624,747",26,"907,379",296,"4,489,281","2,681","36,159,340","2,408","11,291,657","3,408","78,060,328","1,908","40,677,839","3,404","17,758,566","3,025","8,020,584","3,009","2,238,213","4,134","107,476,423","3,236","43,361,183","2,544","9,255,293","4,157","58,487,648","2,032","18,814,107","2,129","-22,341,810","4,169","-3,527,703",170,"1,186,771",43,"36,802",30,"535,648",379,"2,011,991","1,274","21,999,394","1,020","3,517,064",40,"1,466,809","1,895","128,203,027","1,929","129,666,836","1,727","75,668,802","2,050","49,695,127","1,363","13,420,825","2,080","9,415,818","1,357","717,070","7,285","2,821,938","4,987","157,280,527","16,310","12,231","7,060,671","1,575","514,674","6,157","2,524,137","10,395","5,051,207"
ACT,Australian Capital Territory,2603,"7,828","7,773","1,115,508,646","7,031","348,455,258","6,204","21,065,902",389,"617,421","6,195","21,658,654","6,705","360,841,265",883,"4,621,526","5,681","627,846,176","5,549","202,079,420","1,692","17,752,019",60,"2,296,944",122,"3,736,442",168,"1,336,214",162,"1,834,528",129,"1,897,594","1,094","65,922,414","5,845","15,519,892","1,385","2,626,880","2,502","66,657,848","2,494","26,734,040","7,786","1,160,015,330","1,217","3,322,959",625,"905,513","1,305","410,737",437,"1,222,652","3,683","5,264,516","4,113","11,126,377",311,"152,014",156,"1,461,714",479,"2,750,345","2,678","6,551,430",308,"682,965",4,809,"2,839","2,822,428","6,133","43,704,713",208,"4,573,697",205,"2,979,350",869,"7,737,382",53,"-108,514","2,008","179,372,208","1,429","27,286,552",99,"6,409,314",8,"530,199",89,"1,334,014","1,122","52,759,725","1,005","20,838,418","1,447","110,386,525",914,"28,335,863","1,415","12,578,825","1,227","6,440,975","1,223","1,634,702","1,833","66,201,853","1,363","26,336,272","1,189","5,811,044","1,845","38,085,152",909,"12,029,998",942,"-16,060,620","1,856","-4,030,622",54,"392,443",29,"30,846",8,"169,595",182,"2,154,464",703,"14,816,335",492,"3,248,398",10,"148,030",545,"161,071,565",555,"161,219,595",502,"94,136,011",577,"65,704,792",427,"25,913,853",924,"4,821,740",508,"368,440","2,029","789,043","1,419","45,955,681","6,184","4,387","3,286,018",494,"213,298","2,466","1,436,223","3,218","2,063,093"
ACT,Australian Capital Territory,2604,"9,332","9,266","1,007,744,872","8,517","270,204,169","7,415","18,252,230",651,"912,426","7,413","19,144,367","8,180","281,125,051","1,336","7,445,807","7,541","779,269,260","7,461","241,328,770","2,653","29,970,771",85,"3,360,168",139,"3,396,843",279,"2,241,654",217,"2,355,203",158,"2,326,909","1,059","56,500,927","6,738","11,175,634","1,295","1,460,265","2,413","22,243,955","2,401","9,054,069","9,279","1,047,503,414","1,705","3,923,684",912,"1,120,715","2,095","668,498",696,"1,566,653","5,269","6,592,606","5,819","13,872,156",338,"149,957",130,"3,908,621",484,"1,120,100","3,327","5,487,221",203,"456,594",9,"1,945","3,503","2,094,838","7,583","39,080,085",290,"6,432,332",269,"3,628,795","1,069","7,690,078",35,"-142,781","1,629","47,695,496","1,314","8,621,920",89,"5,081,812",4,"367,819",109,"1,945,045","1,168","33,697,041","1,058","11,474,995","1,520","59,174,376",920,"24,994,562","1,474","6,796,510","1,303","2,266,545","1,257","1,104,828","2,029","57,125,439","1,683","23,785,375","1,268","5,573,285","2,040","31,826,989",978,"8,859,040","1,068","-12,919,250","2,047","-4,060,210",66,"524,775",12,"11,163",18,"329,404",156,"792,415",587,"10,056,740",468,"1,763,787",17,"633,378",603,"48,595,280",618,"49,197,762",580,"26,939,153",658,"20,294,956",446,"6,232,421",847,"4,079,285",469,"286,448","2,377","890,194","1,854","64,384,462","6,840","5,298","3,303,986",674,"217,250","2,904","1,287,147","4,263","2,234,089"
ACT,Australian Capital Territory,2605,"8,200","8,151","942,381,384","7,265","268,156,209","6,348","17,021,858",334,"458,548","6,339","17,459,059","6,879","276,515,424",572,"2,631,012","6,072","644,297,046","5,950","198,701,595","1,923","16,431,435",64,"2,137,732",74,"1,689,366",179,"1,420,866",301,"3,306,640",193,"2,768,660","1,433","71,741,580","5,858","10,728,899","1,590","1,472,518","2,659","30,867,248","2,644","12,352,785","8,163","976,534,010","1,360","3,168,430",629,"791,789","1,634","516,419",522,"1,216,373","4,153","6,031,089","4,574","11,724,100",343,"141,299",143,"479,708",479,"1,527,769","3,221","4,329,690",189,"262,447",2,"10,776","3,304","1,949,492","6,537","34,067,137",422,"9,354,266",192,"2,936,700",918,"6,997,911",31,"-306,178","1,669","73,684,380","1,221","12,160,558",97,"5,425,862",9,"687,122",91,"1,304,623","1,056","45,620,086",938,"18,503,481","1,365","83,347,511",859,"17,965,145","1,382","6,501,321","1,210","3,490,912","1,163","792,691","1,735","50,096,133","1,339","21,286,441","1,143","4,406,789","1,745","27,917,970",846,"8,640,454",903,"-12,155,161","1,753","-3,514,707",60,"733,413",20,"33,438",8,"179,050",149,"1,382,304",598,"11,119,286",577,"2,438,736",9,"185,645",597,"66,206,132",604,"66,391,777",556,"27,787,350",631,"37,063,132",449,"12,836,971","1,143","5,487,655",487,"317,393","2,337","873,102","1,080","29,268,164","6,495","4,782","3,360,413",528,"218,791","2,530","1,239,772","3,747","2,339,433"
ACT,Australian Capital Territory,2606,"9,035","8,960","792,720,816","8,134","194,473,389","6,557","13,698,520",558,"715,030","6,558","14,407,898","7,762","202,733,033",965,"4,877,509","7,478","637,608,478","7,376","175,539,677","2,824","10,470,097",61,"967,795",132,"1,830,420",284,"2,117,885",297,"3,346,783",139,"2,052,927",857,"39,331,891","6,508","8,391,566","1,011","722,828","1,825","21,082,591","1,815","8,571,236","8,971","822,302,976","1,953","4,792,954",983,"1,153,825","3,112","1,090,639",763,"2,245,350","5,305","6,555,468","5,925","15,838,236",270,"145,320",105,"266,305",280,"645,279","3,083","2,796,590",174,"259,446",7,"1,161","3,257","1,370,976","7,276","29,116,455",699,"15,487,929",138,"1,864,499",850,"5,054,728",20,"-26,195","1,122","33,336,900",824,"4,159,324",104,"4,563,587",7,"73,185",99,"1,242,452",744,"12,918,095",661,"4,120,942",976,"30,686,788",650,"12,462,278",968,"3,732,986",858,"1,585,145",826,"511,932","1,348","45,051,789","1,082","17,527,973",872,"4,418,276","1,354","24,026,773",641,"8,207,111",715,"-9,232,614","1,359","-1,025,503",99,"504,697",14,"18,472",7,"82,001",108,"892,887",396,"6,431,626",383,"1,332,965",12,"138,918",645,"45,504,318",656,"45,643,236",610,"21,853,542",696,"22,661,683",494,"6,705,234",680,"2,979,267",501,"262,317","3,071","1,105,885","1,477","45,259,045","5,597","4,362","2,647,599",568,"163,361","2,062","853,751","3,906","1,957,210"
ACT,Australian Capital Territory,2607,"10,012","9,945","935,612,813","8,836","239,766,094","7,616","17,132,340",503,"683,656","7,619","17,810,576","8,350","246,915,224",705,"3,531,592","7,375","688,452,037","7,225","199,677,930","2,415","11,421,404",89,"2,766,368",117,"5,746,012",249,"1,937,400",428,"4,588,874",208,"2,949,871","1,681","81,523,792","7,018","12,184,182","1,746","1,634,385","2,977","24,777,797","2,963","9,870,684","9,954","971,712,288","1,926","4,675,419",790,"852,055","2,475","787,460",564,"1,258,735","5,123","6,553,294","5,712","14,126,963",373,"170,627",142,"326,210",482,"1,798,076","3,802","3,796,423",202,"392,088",2,520,"3,907","2,071,144","7,918","35,514,902",523,"11,827,198",172,"2,409,338","1,097","7,886,840",42,"-537,918","1,663","50,106,945","1,213","7,759,187",97,"6,000,892",8,"395,838",119,"1,523,166","1,117","21,506,415",981,"6,785,971","1,439","43,783,821",961,"27,850,027","1,358","5,637,160","1,188","1,865,425","1,142","566,155","1,826","52,489,297","1,425","20,247,143","1,245","4,793,540","1,836","27,872,133",891,"9,553,182",949,"-9,987,906","1,843","-434,724",76,"601,988",16,"10,568",9,"133,586",146,"1,328,781",567,"10,004,339",526,"2,738,349",15,"459,853",704,"74,244,629",717,"74,704,482",685,"41,779,604",765,"31,120,855",514,"10,345,662","1,378","6,543,564",573,"349,048","3,249","1,214,447","1,292","35,633,804","7,419","5,641","3,998,544",723,"308,715","2,704","1,235,282","4,769","3,071,977"
ACT,Australian Capital Territory,2609,550,545,"47,586,289",497,"12,450,258",408,"870,481",27,"40,240",407,"909,741",454,"13,074,314",35,"124,381",413,"27,842,118",404,"6,815,288",121,"559,589",1,"4,017",8,"16,405",61,"556,822",36,"557,201",4,"51,341",25,"1,031,745",328,"723,524",36,"341,651",79,"3,093,548",78,"1,281,318",546,"49,099,638",121,"307,473",45,"68,402",211,"86,209",16,"25,829",254,"281,542",309,"769,455",15,"7,764",3,"32,436",8,"8,825",131,"57,365",25,"78,449",0,0,189,"92,175",402,"1,494,253",14,"331,121",3,"48,449",44,"275,003",8,"-141,597",79,"5,622,542",42,"1,019,579",2,"5,751",1,"13,799",5,"22,311",29,"5,782,351",26,"2,579,656",36,"11,433,745",30,"3,268,368",36,"104,751",33,"44,122",28,"10,009",74,"2,632,985",54,"750,099",47,"277,451",73,"1,227,703",49,"809,191",25,"-431,459",74,"377,732",2,699,2,"11,590",0,0,9,"59,744",24,"410,682",15,"36,234",10,"770,740",50,"5,256,153",58,"6,026,893",54,"4,897,496",59,"1,050,116",37,"294,180",19,"71,406",43,"27,047",236,"94,646",65,"1,330,567",261,210,"128,633",25,"7,396",76,"38,243",192,"97,786"
ACT,Australian Capital Territory,2611,"26,207","26,009","2,348,069,775","23,503","574,297,230","20,697","43,239,423","1,661","2,090,524","20,695","45,307,014","22,435","600,916,818","2,408","11,636,241","21,254","1,937,070,556","20,927","544,347,151","7,077","32,436,884",171,"3,006,759",322,"3,716,513",747,"6,089,940",968,"11,198,192",371,"5,010,396","2,913","136,907,799","17,861","19,492,451","3,260","2,582,778","5,847","34,696,004","5,806","13,788,427","26,027","2,429,474,888","5,590","13,284,813","2,263","2,689,091","7,450","2,295,802","2,109","4,113,143","15,381","19,324,523","17,000","41,707,372",907,"360,891",269,"1,091,015",854,"1,740,986","9,375","7,365,613",401,"691,917",17,"20,070","9,511","4,190,676","21,009","80,829,108","1,494","33,727,762",431,"5,768,395","2,981","18,231,601",87,"-234,521","3,265","91,499,654","2,484","13,148,604",275,"18,011,872",23,"1,085,293",275,"4,035,695","2,399","39,079,375","2,155","12,770,629","3,071","85,316,197","1,989","38,734,983","2,882","9,785,451","2,570","4,732,967","2,484","917,482","4,444","108,933,704","3,744","51,256,626","2,987","11,609,573","4,464","58,993,813","1,819","15,049,800","2,663","-27,882,087","4,491","-12,832,287",207,"1,227,138",49,"81,476",28,"399,574",306,"1,956,349","1,162","19,275,847","1,319","4,241,888",45,"2,137,614","1,835","122,319,484","1,877","124,457,098","1,776","67,098,832","1,971","53,792,343","1,346","14,508,570","2,380","10,968,596","1,455","821,495","7,998","2,952,084","3,934","107,604,547","18,777","15,041","8,882,210","1,715","598,105","7,423","2,857,125","13,160","6,623,190"
