Small Unit Installation Postcode,Jan 2011 - SGU Rated Output In kW,Feb 2011 - SGU Rated Output In kW,Mar 2011 - SGU Rated Output In kW,Apr 2011 - SGU Rated Output In kW,May 2011 - SGU Rated Output In kW,Jun 2011 - SGU Rated Output In kW,Jul 2011 - SGU Rated Output In kW,Aug 2011 - SGU Rated Output In kW,Sep 2011 - SGU Rated Output In kW,Oct 2011 - SGU Rated Output In kW,Nov 2011 - SGU Rated Output In kW,Dec 2011 - SGU Rated Output In kW,Jan 2012 - SGU Rated Output In kW,Feb 2012 - SGU Rated Output In kW,Mar 2012 - SGU Rated Output In kW,Apr 2012 - SGU Rated Output In kW,May 2012 - SGU Rated Output In kW,Jun 2012 - SGU Rated Output In kW,Jul 2012 - SGU Rated Output In kW,Aug 2012 - SGU Rated Output In kW,Sep 2012 - SGU Rated Output In kW,Oct 2012 - SGU Rated Output In kW,Nov 2012 - SGU Rated Output In kW,Dec 2012 - SGU Rated Output In kW,Jan 2013 - SGU Rated Output In kW,Feb 2013 - SGU Rated Output In kW,Mar 2013 - SGU Rated Output In kW,Apr 2013 - SGU Rated Output In kW,May 2013 - SGU Rated Output In kW,Jun 2013 - SGU Rated Output In kW,Jul 2013 - SGU Rated Output In kW,Aug 2013 - SGU Rated Output In kW,Sep 2013 - SGU Rated Output In kW,Oct 2013 - SGU Rated Output In kW,Nov 2013 - SGU Rated Output In kW,Dec 2013 - SGU Rated Output In kW,Jan 2014 - SGU Rated Output In kW,Feb 2014 - SGU Rated Output In kW,Mar 2014 - SGU Rated Output In kW,Apr 2014 - SGU Rated Output In kW,May 2014 - SGU Rated Output In kW,Jun 2014 - SGU Rated Output In kW,Jul 2014 - SGU Rated Output In kW,Aug 2014 - SGU Rated Output In kW,Sep 2014 - SGU Rated Output In kW,Oct 2014 - SGU Rated Output In kW,Nov 2014 - SGU Rated Output In kW,Dec 2014 - SGU Rated Output In kW,Jan 2015 - SGU Rated Output In kW,Feb 2015 - SGU Rated Output In kW,Mar 2015 - SGU Rated Output In kW,Apr 2015 - SGU Rated Output In kW,May 2015 - SGU Rated Output In kW,Jun 2015 - SGU Rated Output In kW,Jul 2015 - SGU Rated Output In kW,Aug 2015 - SGU Rated Output In kW,Sep 2015 - SGU Rated Output In kW,Oct 2015 - SGU Rated Output In kW,Nov 2015 - SGU Rated Output In kW,Dec 2015 - SGU Rated Output In kW,Jan 2016 - SGU Rated Output In kW,Feb 2016 - SGU Rated Output In kW,Mar 2016 - SGU Rated Output In kW,Apr 2016 - SGU Rated Output In kW,May 2016 - SGU Rated Output In kW,Jun 2016 - SGU Rated Output In kW,Jul 2016 - SGU Rated Output In kW,Aug 2016 - SGU Rated Output In kW,Sep 2016 - SGU Rated Output In kW,Oct 2016 - SGU Rated Output In kW,Nov 2016 - SGU Rated Output In kW,Dec 2016 - SGU Rated Output In kW,Jan 2017 - SGU Rated Output In kW,Feb 2017 - SGU Rated Output In kW,Mar 2017 - SGU Rated Output In kW,Apr 2017 - SGU Rated Output In kW,May 2017 - SGU Rated Output In kW,Jun 2017 - SGU Rated Output In kW,Jul 2017 - SGU Rated Output In kW,Aug 2017 - SGU Rated Output In kW,Sep 2017 - SGU Rated Output In kW,Oct 2017 - SGU Rated Output In kW,Nov 2017 - SGU Rated Output In kW,Dec 2017 - SGU Rated Output In kW,Jan 2018 - SGU Rated Output In kW,Feb 2018 - SGU Rated Output In kW,Mar 2018 - SGU Rated Output In kW,Apr 2018 - SGU Rated Output In kW,May 2018 - SGU Rated Output In kW,Jun 2018 - SGU Rated Output In kW,Jul 2018 - SGU Rated Output In kW,Aug 2018 - SGU Rated Output In kW,Sep 2018 - SGU Rated Output In kW,Oct 2018 - SGU Rated Output In kW,Nov 2018 - SGU Rated Output In kW,Dec 2018 - SGU Rated Output In kW,Jan 2019 - SGU Rated Output In kW,Feb 2019 - SGU Rated Output In kW,Mar 2019 - SGU Rated Output In kW,Apr 2019 - SGU Rated Output In kW,May 2019 - SGU Rated Output In kW,Jun 2019 - SGU Rated Output In kW,Jul 2019 - SGU Rated Output In kW,Aug 2019 - SGU Rated Output In kW,Sep 2019 - SGU Rated Output In kW,Oct 2019 - SGU Rated Output In kW,Nov 2019 - SGU Rated Output In kW,Dec 2019 - SGU Rated Output In kW,Jan 2020 - SGU Rated Output In kW,Feb 2020 - SGU Rated Output In kW,Mar 2020 - SGU Rated Output In kW,Apr 2020 - SGU Rated Output In kW,May 2020 - SGU Rated Output In kW,Jun 2020 - SGU Rated Output In kW,Jul 2020 - SGU Rated Output In kW,Aug 2020 - SGU Rated Output In kW,Sep 2020 - SGU Rated Output In kW,Oct 2020 - SGU Rated Output In kW,Nov 2020 - SGU Rated Output In kW,Dec 2020 - SGU Rated Output In kW,Jan 2021 - SGU Rated Output In kW,Feb 2021 - SGU Rated Output In kW,Mar 2021 - SGU Rated Output In kW,Apr 2021 - SGU Rated Output In kW,May 2021 - SGU Rated Output In kW,Jun 2021 - SGU Rated Output In kW,Jul 2021 - SGU Rated Output In kW,Aug 2021 - SGU Rated Output In kW,Sep 2021 - SGU Rated Output In kW,Oct 2021 - SGU Rated Output In kW,Nov 2021 - SGU Rated Output In kW,Dec 2021 - SGU Rated Output In kW,Jan 2022 - SGU Rated Output In kW,Feb 2022 - SGU Rated Output In kW,Mar 2022 - SGU Rated Output In kW,Apr 2022 - SGU Rated Output In kW,May 2022 - SGU Rated Output In kW,Jun 2022 - SGU Rated Output In kW,Jul 2022 - SGU Rated Output In kW,Aug 2022 - SGU Rated Output In kW,Sep 2022 - SGU Rated Output In kW,Oct 2022 - SGU Rated Output In kW,Nov 2022 - SGU Rated Output In kW,Dec 2022 - SGU Rated Output In kW,Jan 2023 - SGU Rated Output In kW,Feb 2023 - SGU Rated Output In kW,Mar 2023 - SGU Rated Output In kW,Apr 2023 - SGU Rated Output In kW,May 2023 - SGU Rated Output In kW,Jun 2023 - SGU Rated Output In kW,Jul 2023 - SGU Rated Output In kW,Aug 2023 - SGU Rated Output In kW,Sep 2023 - SGU Rated Output In kW,Oct 2023 - SGU Rated Output In kW,Nov 2023 - SGU Rated Output In kW,Dec 2023 - SGU Rated Output In kW,Jan 2024 - SGU Rated Output In kW,Feb 2024 - SGU Rated Output In kW,Mar 2024 - SGU Rated Output In kW,Apr 2024 - SGU Rated Output In kW
3000,0.0,0.0,0.0,0.0,1.52,5.27,0.0,0.0,0.0,0.0,1.48,0.0,0.0,1.9,0.0,0.0,29.675,0.0,0.0,0.0,5.06,0.0,0.0,7.521,0.0,0.0,0.0,5.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.5,0.0,0.0,5.0,0.0,0.0,0.0,9.0,0.0,21.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,45.945,59.4,50.0,5.0,0.0,10.4,0.0,0.0,0.0,0.0,100.8,10.4,0.0,0.0,0.0,9.0,0.0,31.27,0.0,0.0,10.07,66.995,0.0,24.94,0.0,21.52,0.0,75.6,0.0,0.0,10.26,0.0,0.0,0.0,0.0,0.0,4.745,96.3,4.55,32.86,35.34,0.0,0.0,0.0,0.0,0.0,60.9,0.0,0.0,0.0,0.0,5.225,0.0,0.0,16.83,69.42,69.52,30.03,0.0,0.0,2.8,0.0,0.0,63.64,8.25,12.48,30.55,0.0,62.67,30.36,71.87,144.58,0.0,13.41,18.9,108.48,0.0,0.0,31.24,4.07,0.0,0.0,0.0,0.0,0.0,0.0,60.0,128.37,0.0,193.14,0.0,39.6,0.0,101.25,84.41,86.86,65.0,19.8,30.25,96.36,0.0,0.0,0.0,0.0
3002,0.0,0.0,0.0,0.0,1.9,3.0,3.04,0.0,0.0,1.48,0.0,0.0,1.5,0.0,0.0,0.0,0.0,2.66,1.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,5.0,0.0,2.75,2.0,0.0,0.0,0.0,99.77,0.0,0.0,0.0,0.0,3.0,3.24,0.0,1.5,0.0,0.0,1.5,7.25,0.0,0.0,0.0,3.75,9.51,0.0,0.0,3.0,4.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,9.28,0.0,7.28,0.0,0.0,1.06,0.0,0.0,0.0,0.0,4.72,6.325,0.0,7.28,12.04,0.0,0.0,0.0,30.81,7.02,0.0,7.92,0.0,0.0,2.08,0.0,12.0,0.0,12.265,22.2,0.0,6.38,0.0,0.0,0.0,10.0,5.865,12.0,11.36,5.4,5.61,0.0,0.0,0.0,4.55,18.525,22.28,6.29,39.6,0.0,25.16,0.0,5.76,5.67,0.0,107.4,0.0,10.17,0.0,0.0,0.0,5.18,16.38,0.0,0.0,12.58,0.0,0.0,5.18,0.0,0.0,0.0,10.66,5.74,4.565,4.68,0.0,0.0,0.0,19.21,0.0,14.9,10.64,7.65,19.55,0.0,0.0,6.16,0.0,0.0,4.8,0.0,0.0
3003,0.0,0.0,1.48,0.0,2.09,9.54,0.0,0.0,8.36,0.0,0.0,0.0,0.0,0.0,0.0,2.0,7.26,0.0,0.0,1.52,0.0,0.0,6.55,3.0,0.0,7.25,0.0,0.0,9.6,0.0,0.0,0.0,27.495,4.5,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,3.0,0.0,15.1,3.1,0.0,5.27,2.0,0.0,0.0,0.0,1.56,10.0,3.1,4.48,0.0,4.94,19.12,0.0,0.0,0.0,2.12,0.0,0.0,15.1,31.72,0.0,0.0,5.1,0.0,0.0,72.06,0.0,23.2,0.0,0.0,0.0,8.1,99.0,0.0,199.26,0.0,0.0,0.0,3.5,147.57,0.0,0.0,3.4,0.0,6.03,19.98,0.0,10.2,6.325,0.0,3.7,6.27,10.89,0.0,3.72,4.95,0.0,0.0,5.31,6.0,9.57,0.0,3.48,99.2,64.39,0.0,0.0,6.48,11.4,0.0,21.36,0.0,0.0,17.16,0.0,99.9,2.96,0.0,29.67,0.0,29.88,0.0,59.63,45.97,0.0,0.0,0.0,0.0,7.26,18.92,0.0,74.88,0.0,33.15,4.98,41.995,0.0,0.0,11.635,0.0,106.4,0.0,64.4,58.1,0.0,0.0,6.72,38.72,0.0,0.0,0.0,0.0
3004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,22.5,0.0,0.0,0.0,0.0,17.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.12,0.0,0.0,0.0,0.0,0.0,1.53,0.0,0.0,0.0,0.0,99.84,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,20.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.34,0.0,0.0,28.08,0.0,0.0,0.0,0.0,13.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.76,0.0,56.0,9.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.75,0.0,0.0,35.15,0.0,0.0,0.0,0.0,29.88,17.1,0.0,0.0,0.0,0.0
3006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.975,0.0,0.0,0.0,3.12,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,8.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.08,0.0,0.0,0.0,9.1,0.0,19.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.37,0.0,0.0,11.02,0.0,42.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.38,0.0,56.16,0.0,0.0,0.0,0.0,0.0,44.85,0.0,34.0,0.0,30.4,28.35,0.0,0.0,91.455,0.0,17.6,0.0,29.7,0.0,138.84,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,221.8,0.0,0.0,0.0,0.0,0.0,3.0,139.49,0.0,0.0,0.0,0.0,0.0,74.925,0.0,0.0,11.495,15.355,0.0,95.45,0.0,0.0,15.54,0.0,0.0,0.0,0.0,39.0,0.0,0.0
3008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,130.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.02,0.0,40.0,2.62,0.0,0.0,0.0,0.0,0.0,51.35,0.0,5.0,15.0,0.0,0.0,2.34,0.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,124.47,0.0,18.29,34.65,0.0,0.0,0.0,0.0,0.0,37.99,0.0,0.0,0.0,0.0,0.0,67.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.145,0.0,0.0,0.0,0.0,90.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,107.115,0.0,39.9,25.23,0.0,0.0,0.0,6.525,0.0,0.0,0.0,0.0,0.0,0.0,6.6,19.8,0.0,7.65,0.0,0.0,111.37,0.0,12.76,0.0,222.75,0.0,0.0,14.46,0.0,10.56,0.0,37.72,7.02,0.0,0.0,0.0,10.25,6.63,63.22,6.65,0.0,0.0,99.735,0.0,0.0,0.0,0.0,0.0,99.96,0.0,0.0,0.0,0.0
3011,5.984,5.28,11.035,29.72,38.815,48.955,13.295,17.15,38.454,11.42,12.345,6.88,11.75,8.02,13.855,12.9,24.3,41.74,23.08,23.01,35.52,2.28,11.07,32.51,15.605,10.73,18.61,4.875,24.03,4.0,8.54,8.5,100.75,22.8,22.58,2.28,14.395,38.29,8.0,6.5,12.73,29.44,12.0,20.27,31.94,44.82,16.8,33.8,29.83,49.45,112.275,10.0,111.87,18.08,49.87,15.99,19.51,21.7,18.35,5.75,7.15,5.0,11.0,60.545,3.1,45.24,29.0,30.88,51.255,33.09,11.925,36.55,15.27,43.59,3.924,0.0,21.14,49.22,60.745,85.105,5.14,20.25,66.77,8.18,7.03,6.09,21.01,9.3,34.11,13.61,16.74,47.675,23.965,26.005,62.905,38.435,17.11,57.005,58.39,39.48,15.68,89.85,16.61,48.85,67.53,130.395,56.73,187.25,19.615,21.57,147.26,151.36,49.46,167.38,33.0,21.83,9.7,22.8,43.85,62.91,35.8,60.62,48.95,42.07,102.29,180.04,144.57,44.59,56.02,48.59,149.56,198.0,37.33,24.37,73.385,54.84,34.105,33.94,52.495,94.465,70.435,58.555,54.27,357.7,51.125,95.68,203.95,48.375,57.535,41.425,117.92,52.355,215.255,48.835,61.26,109.58,38.73,59.72,108.745,6.6
3012,22.585,24.16,27.5,26.945,45.84,58.57,39.1,13.2,43.275,10.52,7.64,15.98,9.61,30.84,21.01,33.78,81.945,91.27,33.22,16.42,56.355,14.25,17.0,25.8,14.7,18.44,25.45,7.5,27.82,3.0,30.5,25.4,3.0,128.34,46.98,33.14,24.055,24.9,31.77,28.63,26.7,21.73,23.75,25.93,39.0,22.6,130.15,213.52,32.25,41.18,0.0,19.25,18.5,67.52,52.84,64.88,54.0,99.96,1.5,20.1,9.95,13.2,15.03,55.55,15.44,39.72,34.045,27.02,14.62,54.09,5.94,26.52,11.73,24.56,74.595,50.89,70.93,61.283,35.61,33.045,15.9,85.32,10.11,59.4,20.125,0.0,20.315,12.72,21.36,127.095,27.925,28.52,134.885,54.885,86.92,352.33,62.43,183.17,141.51,99.466,33.705,83.64,72.245,65.185,40.365,150.01,155.99,77.64,24.525,202.87,162.24,62.775,99.37,69.1,50.1,61.19,48.56,137.965,175.09,207.585,76.07,107.82,100.42,125.53,101.47,124.15,181.355,76.87,60.86,108.98,181.36,295.91,82.59,176.26,167.615,109.98,155.26,146.505,82.65,134.71,151.8,149.435,278.38,125.705,88.26,82.51,142.955,81.41,84.77,89.64,73.63,176.93,110.715,170.845,105.355,321.535,83.465,120.7,87.175,47.12
3013,17.625,11.96,20.895,23.625,34.505,52.371,11.92,11.38,32.6,2.16,2.27,13.7,5.41,3.5,25.87,22.6,43.305,40.315,16.62,30.34,74.415,4.4,14.15,15.1,3.91,35.35,4.0,23.6,5.0,9.31,50.9,5.74,10.68,20.94,3.6,3.0,13.5,23.8,21.18,4.0,23.24,17.0,22.098,38.55,40.945,42.13,18.0,18.44,29.5,3.5,25.0,27.12,25.5,19.49,12.14,5.0,0.0,20.84,20.0,33.16,20.56,20.19,16.82,41.08,5.2,2.0,8.15,8.035,2.65,6.535,19.16,18.345,0.0,8.222,12.12,5.9,21.07,21.76,30.6,24.215,22.2,22.18,18.425,142.88,18.005,38.445,22.915,43.056,147.085,26.081,35.35,24.105,28.855,53.085,58.525,36.181,130.395,68.31,96.66,72.395,34.195,3.05,64.895,11.64,30.5,26.325,16.765,49.215,9.425,35.195,55.765,27.555,62.395,112.46,38.2,104.95,9.825,76.11,90.07,54.555,9.99,41.72,78.825,59.645,94.96,44.525,184.115,57.64,44.18,74.35,104.045,106.765,18.82,79.83,50.86,81.3,72.225,68.43,59.035,80.575,52.305,48.95,128.24,142.285,12.985,55.19,67.73,47.335,120.335,81.705,58.195,34.85,75.37,84.11,71.05,102.705,29.76,36.945,54.8,42.72
3015,6.85,17.064,9.08,19.37,14.384,48.63,13.43,10.45,30.77,0.0,5.182,9.92,11.03,9.81,31.965,9.02,30.265,56.75,23.8,9.86,62.16,13.1,5.0,24.65,19.31,20.89,8.64,18.2,11.0,14.14,24.75,19.15,7.0,16.964,11.22,11.5,24.645,31.0,23.12,25.75,33.5,8.0,30.68,33.874,45.674,28.57,29.62,20.92,20.28,35.46,14.6,16.08,11.18,119.3,18.72,12.12,26.18,3.0,8.07,56.72,43.75,55.07,32.885,37.745,9.725,12.36,15.416,11.9,10.79,21.46,21.37,44.82,9.82,11.98,26.7,18.3,16.035,7.7,0.0,16.16,5.32,18.17,83.9,67.07,32.34,37.55,93.68,27.89,72.02,29.095,48.94,55.21,27.32,44.825,55.53,21.9,60.92,45.19,46.29,78.27,54.58,15.31,11.865,47.53,26.705,42.48,160.455,37.65,33.34,71.615,69.935,33.595,70.755,63.105,149.23,38.385,0.0,30.83,154.25,105.59,66.8,55.94,94.275,108.99,67.21,78.195,111.96,26.42,28.58,88.955,83.25,120.27,19.14,69.525,71.915,17.6,65.875,37.94,92.3,71.41,158.69,59.92,182.715,104.035,90.115,54.93,81.185,48.21,62.685,172.1,118.37,87.26,132.475,111.995,161.735,168.88,44.775,109.27,105.25,32.38
